b24,b30,b31,b33,b35,b56,b58,b59,b69,b78,b99,b134,TS
643.7048656,874.4580666,884.3095391,920.634443,947.8111396,1347.96991,1418.173976,1434.919334,1673.81274,1882.332266,2373.955346,3197.245198,1.65
885.8015365,1159.515845,1170.897247,1163.617638,1197.068182,1543.990877,1589.396447,1606.372439,1790.424136,1960.385403,2148.419334,2573.181978,10.2
924.5997119,1218.090909,1234.372439,1264.829065,1310.462548,1780.2492,1838.497279,1866.145967,2118.011844,2333.059699,2748.597311,3364.959827,6.825
1139.827979,1490.008862,1492.338819,1503.813262,1528.551511,2057.996044,2128.839215,2145.395157,2354.040513,2487.31065,2685.495806,2950.315873,8.55
1055.539853,1370.491997,1363.886044,1410.296575,1433.972791,1959.919974,2010.46767,2035.042254,2222.439821,2331.190141,2523.488956,2682.197183,8.225
613.1330907,845.6751068,848.1253363,870.8455452,891.7474284,1247.745688,1297.360342,1319.465263,1511.143061,1671.24181,2072.419845,2668.106504,2.3
642.4584586,886.3763254,896.3600253,910.4162051,936.8012344,1389.877354,1453.110777,1483.720525,1739.66213,1937.901408,2420.60595,3121.404178,2.175
695.8447539,942.3927837,952.4296566,986.8746637,1002.64678,1360.271087,1411.719576,1443.900617,1666.135464,1841.739199,2196.234689,2805.034974,4.625
1030.337881,1333.817978,1343.793419,1362.513162,1389.628732,1847.62809,1922.126645,1956.984751,2179.791332,2355.17496,2662.84077,3151.869823,6.45
1662.587435,2007.313974,2012.67938,2007.408134,2033.927204,2504.728913,2588.687134,2641.267131,2782.403228,2939.997784,2965.516854,3153.542807,6.05
831.693662,1140.860275,1139.797855,1160.998239,1200.509283,1649.74904,1690.632522,1712.264085,1919.975512,2039.825224,2253.770487,2543.850352,4.525
754.837949,1031.65485,1038.162367,1057.402437,1084.337395,1484.65944,1556.745846,1578.012818,1771.981801,1985.57699,2292.180567,2785.71736,3.475
715.5967716,960.74094,962.0705808,987.0307011,1011.568919,1415.25542,1451.523659,1472.160627,1703.708182,1889.541067,2259.483463,2926.898085,3.275
1084.743598,1417.262964,1433.057298,1458.556338,1480.81146,2082.791133,2162.571383,2180.010083,2432.007042,2598.704225,2868.065941,3240.03185,11.2
810.6523184,1097.100649,1109.806298,1110.659915,1140.148125,1578.324735,1665.316031,1665.464156,1867.866909,2054.750119,2334.243709,2941.148125,1.625
705.3583547,962.3903649,966.7275928,1009.888764,1021.182138,1409.664853,1464.430218,1486.616037,1719.163572,1917.007522,2302.119238,2917.96735,2.25
1559.341071,1928.768669,1944.681981,1970.92013,2046.909091,2548.923539,2661.041071,2688.086851,2904.044968,3032.166071,3123.598377,3263.771916,6.45
821.2485595,1102.901729,1112.216229,1131.713348,1157.340109,1653.128361,1730.68806,1758.074104,2000.901889,2177.341709,2575.960147,3172.632682,2.125
1940.50112,2262.126921,2238.12356,2270.557458,2314.609475,2893.935819,2991.462068,3004.784091,3175.277689,3253.994558,3308.940301,3480.208227,7.575
792.0461039,1081.921266,1083.117045,1126.091558,1157.514935,1615.309091,1694.326136,1708.833766,1904.085065,2115.775325,2539.776299,3096.576299,3.0
696.5771447,960.8122599,967.5305698,978.2525608,996.5867478,1394.473752,1461.018406,1476.383643,1681.28233,1898.671895,2292.427977,3026.824744,4.825
641.9547397,892.096376,894.4975471,909.5833201,936.8363665,1368.74996,1396.290078,1422.141795,1699.622883,1861.562906,2360.51179,3010.996993,4.35
743.9414464,1009.970565,1020.592974,1035.210476,1042.541383,1467.938281,1538.752492,1570.873081,1788.545656,2016.708182,2371.395157,3132.885741,2.15
1124.02263,1449.362716,1462.681595,1489.107612,1504.284697,2019.150657,2082.885108,2118.273303,2360.290552,2523.977528,2840.067574,3323.979427,8.125
609.990557,848.3353073,846.650128,849.831306,869.2893726,1251.658131,1281.707586,1300.237996,1520.043534,1739.912132,2120.570262,2856.983355,1.475
1341.986236,1720.854033,1723.733195,1737.915173,1778.769526,2348.852913,2443.201825,2475.53089,2637.986556,2783.240237,2911.462708,3066.614277,8.375
657.8533931,923.3927657,939.0774648,940.2824904,972.4580666,1386.965589,1464.71719,1470.106434,1700.236556,1929.512004,2298.760243,3095.734955,1.325
