variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
λ=0.1,13,42,42,0.4383933631579513,2.2006452114375743,0.33277244478013335,2.567047083379964,3,"b64,b25,b54",4.804145812988281,success,
λ=0.1,14,42,42,0.4363295343553123,2.2046850408651513,0.31531579039744706,2.6004110548874095,3,"b49,b104,b39",4.758384943008423,success,
λ=0.1,15,42,42,0.4198611764495891,2.236659533303779,0.308721829272657,2.612902888726276,3,"b63,b124,b55",4.8307273387908936,success,
λ=0.1,16,42,42,0.4445297822006704,2.1885894668634336,0.32760085177951004,2.5769763026122727,4,"b49,b81,b99,b31",4.7257239818573,success,
λ=0.1,17,42,42,0.4932935576344629,2.090316883707442,0.32365135665725464,2.584533460986272,3,"b42,b25,b46",4.675150156021118,success,
λ=0.1,18,42,42,0.6374125720868329,1.7682362359981163,0.2751674718867788,2.675566101680127,8,"b53,b95,b100,b21,b18,b22,b54,b44",4.729745864868164,success,
λ=0.1,19,42,42,0.4340181943304958,2.2092005902339915,0.30639684093825004,2.617293212007998,3,"b69,b107,b33",4.812982082366943,success,
λ=0.2,0,42,42,0.442641118671415,2.1923070392297213,0.32332789391721306,2.5851514117674017,3,"b53,b84,b38",4.578816890716553,success,
λ=0.2,1,42,42,0.43426694825877765,2.2087150554379447,0.3092167964057103,2.6119672793753974,4,"b48,b72,b109,b28",4.687651872634888,success,
λ=0.2,2,42,42,0.43440797143722576,2.2084397494169155,0.31258198287045524,2.6055973445075207,3,"b64,b106,b40",4.845641851425171,success,
λ=0.2,3,42,42,0.4925981303710656,2.091750815469413,0.33099965961477884,2.5704550692635393,3,"b79,b22,b23",4.486642122268677,success,
λ=0.2,4,42,42,0.5034654883957999,2.0692293753551265,0.354168514599401,2.5255528118281556,20,"b49,b73,b80,b62,b47,b67,b65,b70,b83,b19,b18,b95,b97,b100,b20,b24,b55,b38,b42,b45",4.843289136886597,success,
λ=0.2,5,42,42,0.44770010771104474,2.1823348833448724,0.3294805985190864,2.5733717077451974,4,"b46,b82,b51,b45",4.498913049697876,success,
λ=0.2,6,42,42,0.5210737939545781,2.0322082784359807,0.34203242986616544,2.5491717202595536,3,"b43,b24,b31",4.718670129776001,success,
λ=0.2,7,42,42,0.4946990669597785,2.0874157956256414,0.34583638217808743,2.5417921896138798,3,"b53,b23,b37",4.390143156051636,success,
λ=0.2,8,42,42,0.4382993363806008,2.200829424820765,0.31292429361259255,2.604948514390278,3,"b44,b105,b38",4.754166126251221,success,
λ=0.2,9,42,42,0.4798515122983227,2.117861646097249,0.3496708572121062,2.5343316988575864,3,"b53,b24,b55",4.550265073776245,success,
λ=0.2,10,42,42,0.5461488939331254,1.9782930009323731,0.30625109318523613,2.6175681852130177,3,"b20,b23,b42",4.2826151847839355,success,
λ=0.2,11,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",4.534864902496338,success,
λ=0.2,12,42,42,0.49664637361394126,2.083389717113313,0.20323358284772486,2.8051904902710105,4,"b57,b71,b84,b25",4.33964204788208,success,
λ=0.2,13,42,42,0.4383933631579513,2.2006452114375743,0.33277244478013335,2.567047083379964,3,"b64,b25,b54",4.812359094619751,success,
λ=0.2,14,42,42,0.49803636862416045,2.0805111212721212,0.33022861765026845,2.571935904083932,11,"b49,b69,b21,b19,b96,b100,b20,b23,b52,b40,b46",4.775893926620483,success,
λ=0.2,15,42,42,0.4198611764495891,2.236659533303779,0.308721829272657,2.612902888726276,3,"b63,b124,b55",4.814600944519043,success,
