b58,b144,b93,b161,b80,b60,b119,b99,b153,b91,b131,b147,TS
1418.173976,3267.208227,2265.800416,2993.239757,1920.141005,1450.246639,2806.867638,2373.955346,3007.620038,2216.310179,3163.354033,3132.950224,1.65
1589.396447,2469.836428,2124.304577,1667.895807,1955.15621,1623.501921,2318.866837,2148.419334,1834.169174,2072.337548,2560.091549,2114.96959,10.2
1838.497279,3295.684219,2632.370999,2819.956306,2356.663732,1893.795935,3083.178777,2748.597311,2684.847791,2578.684699,3450.987196,3076.889085,6.825
2128.839215,2858.7047,2633.666245,2228.087039,2541.645197,2161.5417,2805.054122,2685.495806,2163.89492,2587.311758,3020.322045,2594.496914,8.55
2010.46767,2564.057458,2513.876921,1697.477433,2355.828905,2059.790013,2598.315941,2523.488956,1641.849872,2438.366197,2849.559539,2193.474712,8.225
1297.360342,2631.990347,1982.671784,2056.05618,1710.660706,1342.48552,2367.644248,2072.419845,2078.825764,1937.880677,2671.225194,2398.880519,2.3
1453.110777,3070.843804,2280.635385,2632.573192,1963.762937,1513.052856,2771.230258,2420.60595,2617.193069,2210.718785,3050.395949,2861.962494,2.175
1411.719576,2790.491375,2135.121538,2211.002532,1841.724956,1476.729704,2485.815635,2196.234689,2036.636335,2054.736509,2855.005855,2508.598354,4.625
1922.126645,3021.153933,2554.7374,2385.767897,2390.982825,1992.398395,2885.116854,2662.84077,2510.764205,2515.578812,3079.873515,2783.2939,6.45
2588.687134,2982.503402,2986.675107,2109.173762,3005.221079,2695.649312,2964.693306,2965.516854,2221.900142,2991.097167,3230.420003,2625.84507,6.05
1690.632522,2459.097151,2251.152689,1602.246479,2080.581146,1734.115077,2377.552817,2253.770487,1559.536012,2218.108835,2594.568662,2172.098111,4.525
1556.745846,2741.224561,2218.033075,2222.793796,2039.00902,1597.60595,2541.040038,2292.180567,2086.221871,2142.777022,2851.560057,2534.322994,3.475
1451.523659,2937.205412,2152.189587,2490.405444,1932.211426,1493.208894,2616.856306,2259.483463,2297.808672,2108.078968,2979.916917,2758.690457,3.275
2162.571383,3032.734955,2850.684699,2421.319942,2630.867958,2197.398688,3005.604033,2868.065941,2353.745679,2754.991357,3263.8742,2726.011684,11.2
1665.316031,2875.566387,2295.214433,2345.322361,2050.110935,1667.125495,2633.075645,2334.243709,2115.949517,2213.771483,3027.160468,2556.463364,1.625
