b101,b136,b116,b99,b160,b88,b98,b133,b90,b33,b144,b128,b26,b61,b156,b31,b24,b92,b59,b97,b44,b161,b123,b129,b57,b87,b27,b152,b49,b58,b124,b105,b86,b157,b148,b84,b29,TS
2255.431498,2467.059539,2324.859795,2253.770487,1623.538252,2187.007522,2254.889405,2546.332746,2205.890365,1160.998239,2459.097151,2538.567382,911.3455506,1755.802817,1680.161012,1139.797855,831.693662,2234.476793,1712.264085,2255.440461,1342.203425,1602.246479,2454.911012,2562.441741,1670.816741,2181.114757,1004.148688,1645.372919,1413.446543,1690.632522,2463.993118,2248.53153,2174.982234,1629.640045,2042.703105,2148.041293,1141.862036,4.525
2304.250198,2735.817218,2481.354961,2292.180567,2215.902516,2134.567337,2281.727014,2770.735876,2138.69932,1057.402437,2741.224561,2711.379649,819.2365881,1617.344991,2225.178193,1038.162367,754.837949,2176.94746,1578.012818,2262.324102,1220.605476,2222.793796,2634.896819,2747.856939,1521.887957,2123.795379,901.4277576,2166.019307,1291.772116,1556.745846,2657.932584,2363.287387,2111.572559,2190.559266,2438.577623,2111.119481,1026.044469,3.475
2285.217598,2905.231366,2539.802342,2259.483463,2492.348473,2073.237379,2249.316189,2901.749011,2095.084824,987.0307011,2937.205412,2807.049691,779.4302896,1514.614812,2489.782877,962.0705808,715.5967716,2129.261434,1472.160627,2239.374743,1103.943978,2490.405444,2710.181674,2858.039721,1433.182624,2063.566704,852.997468,2339.014559,1181.084032,1451.523659,2727.469378,2353.109353,2053.247033,2412.223137,2667.067099,2020.106662,961.0234214,3.275
2843.148848,3114.479994,2903.441421,2868.065941,2494.231274,2690.927657,2880.144366,3214.15573,2726.601312,1458.556338,3032.734955,3091.56386,1181.651408,2224.515685,2388.097471,1433.057298,1084.743598,2801.904449,2180.010083,2856.306178,1686.262324,2421.319942,3055.478233,3175.623079,2127.823303,2684.28009,1267.878681,2315.828585,1802.198143,2162.571383,3087.552017,2875.551056,2686.447663,2325.146287,2656.74936,2674.841069,1398.590109,11.2
2366.11869,2872.278525,2570.678588,2334.243709,2413.602785,2217.324102,2323.877671,2948.159044,2213.473018,1110.659915,2875.566387,2779.329483,862.9110619,1670.722899,2320.955056,1109.806298,810.6523184,2254.143377,1665.464156,2327.554835,1235.917075,2345.322361,2746.537743,2861.393891,1625.788732,2217.598512,947.4579839,2094.572242,1327.388511,1665.316031,2770.049058,2445.983067,2216.978794,2281.443425,2464.494857,2159.344358,1079.821649,1.625
2305.145807,2846.18758,2555.296415,2302.119238,2347.494558,2114.740397,2302.663892,2910.81274,2134.147567,1009.888764,2862.755602,2828.15749,775.4739117,1530.681658,2357.819622,966.7275928,705.3583547,2177.054417,1486.616037,2291.349072,1121.21927,2329.956786,2744.506562,2884.461428,1437.691101,2110.883483,853.587548,2289.252081,1175.90605,1464.430218,2758.973431,2362.182298,2101.463508,2312.816421,2558.211428,2047.06306,960.7293534,2.25
3136.391883,3189.988799,3111.704708,3123.598377,2229.250325,3089.014935,3121.945617,3250.848864,3094.743669,1970.92013,3069.710714,3201.127922,1631.161364,2734.440584,2337.820455,1944.681981,1559.341071,3098.031981,2688.086851,3124.764935,2179.994481,2174.693344,3205.756656,3235.602273,2605.212662,3071.440097,1739.406331,2319.476786,2308.123539,2661.041071,3219.867208,3118.081818,3053.046753,2306.391396,2600.256981,3029.198539,1911.585065,6.45
2578.037452,3129.755922,2749.341229,2575.960147,2528.983515,2336.049936,2575.96959,3162.828105,2385.15669,1131.713348,3075.047535,3026.524808,873.1038732,1813.307458,2618.319942,1112.216229,821.2485595,2437.079385,1758.074104,2573.37564,1318.004321,2486.308579,2977.537932,3046.721991,1691.382202,2342.800896,957.8455506,2614.326344,1416.161812,1730.68806,3000.205506,2621.450224,2349.306658,2597.430698,2736.783451,2282.394366,1093.840749,2.125
3352.571383,3385.421255,3276.72023,3308.940301,2532.216229,3286.701184,3285.21751,3472.026408,3308.885563,2270.557458,3220.934379,3407.125,2071.806178,3028.267286,2690.821703,2238.12356,1940.50112,3334.724872,3004.784091,3280.117157,2492.622279,2496.59443,3347.300096,3429.866357,2942.87372,3291.108835,2168.961108,2446.772407,2619.518566,2991.462068,3352.215749,3339.073944,3298.464949,2632.537292,2798.415653,3342.897887,2289.928457,7.575
2550.546916,3054.013799,2691.612825,2539.776299,2470.259091,2341.913636,2525.994481,3072.314286,2342.864935,1126.091558,2998.010065,2938.803734,868.1553571,1736.064123,2433.810065,1083.117045,792.0461039,2377.821916,1708.833766,2497.606169,1312.975,2460.013312,2892.815584,2988.996104,1655.339448,2322.848052,954.2842532,2296.581006,1381.880357,1694.326136,2896.156006,2587.668669,2303.594968,2384.438149,2617.862825,2272.693506,1083.737013,3.0
2305.252241,2991.322823,2579.459347,2292.427977,2626.715429,2119.179097,2281.450864,2989.604193,2123.03105,978.2525608,3026.90749,2881.52993,752.1141165,1506.546095,2578.816581,967.5305698,696.5771447,2168.510883,1476.383643,2262.278649,1099.102753,2630.899968,2780.235915,2933.059539,1429.048496,2109.31242,833.1214789,2446.497439,1171.291933,1461.018406,2810.578585,2397.998239,2096.46927,2519.102913,2779.379161,2059.06098,953.4553457,4.825
2365.61592,3002.237379,2609.287387,2360.51179,2546.681437,2109.306378,2351.844912,2968.097642,2156.407976,909.5833201,2993.073904,2896.468587,699.6227251,1477.402595,2505.351638,894.4975471,641.9547397,2221.627947,1422.141795,2336.44833,1061.608957,2557.254945,2815.408767,2910.741098,1382.308277,2082.495648,773.6933059,2461.030068,1117.721475,1396.290078,2841.430764,2405.842064,2056.276943,2496.842697,2655.798544,2028.17123,890.6608641,4.35
2424.11236,3072.258427,2674.082292,2371.395157,2487.648046,2263.39579,2354.742523,3098.340877,2244.319196,1035.210476,2998.757557,2920.321728,813.3600253,1629.112676,2418.213958,1020.592974,743.9414464,2276.95379,1570.873081,2344.667827,1156.041779,2445.198133,2795.355278,3017.06251,1503.25906,2247.233898,888.2788416,2233.287545,1251.238329,1538.752492,2831.032917,2483.747745,2223.559107,2378.01725,2641.433296,2183.772116,999.3750593,2.15
2851.137997,3222.856306,2940.292293,2840.067574,2631.388511,2697.059345,2828.546289,3308.415256,2713.240703,1489.107612,3144.558949,3176.564646,1213.912486,2181.704067,2635.849502,1462.681595,1124.02263,2752.488368,2118.273303,2819.417629,1656.412882,2519.689983,3113.329166,3229.83241,2050.354961,2685.779237,1307.11774,2447.335813,1781.251622,2082.885108,3123.40671,2887.188479,2674.454028,2640.958854,2795.92752,2650.558474,1435.379332,8.125
2141.866997,2847.419814,2361.850352,2120.570262,2393.260403,1945.503361,2107.196383,2811.096991,1964.691741,849.831306,2786.065941,2680.681178,668.2983355,1336.603553,2380.885403,846.650128,609.990557,2003.323784,1300.237996,2095.569462,955.893886,2350.620038,2562.973111,2715.477273,1266.572663,1934.822503,740.1771767,2273.491997,1009.846511,1281.707586,2584.025928,2201.074904,1920.970391,2376.661812,2492.872599,1905.111236,849.5390525,1.475
