b14,b16,b20,b21,b30,b31,b32,b34,b52,b58,b60,b62,b65,b75,b81,b85,b86,b91,b95,b107,b108,b111,b116,b120,b127,b128,b130,b132,b137,b144,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
447.4583867,503.7863316,555.2952945,565.8185019,848.3353073,846.650128,847.762484,857.371799,1051.232554,1281.707586,1317.508643,1368.831626,1427.481114,1653.949264,1815.665653,1913.573464,1920.970391,1976.458547,2070.06402,2221.887964,2215.809379,2217.447183,2361.850352,2492.091709,2655.485755,2680.681178,2762.939341,2803.900288,2770.93694,2786.065941,2773.756402,2697.338828,2273.491997,2383.425896,2380.885403,2374.245038,2393.260403,2350.620038,2152.354513,1.475
550.6664029,557.1910112,640.399905,655.6645039,975.4037031,989.1607849,991.2098433,1004.734135,1236.081658,1514.338503,1538.86501,1573.896344,1613.670676,1849.41573,1945.365881,2054.547397,2076.263016,2104.037348,2243.966925,2347.276943,2319.882576,2329.491059,2563.530305,2648.264757,2774.658332,2788.439152,2951.044786,2931.725906,2815.163159,2906.664979,2885.416838,2766.676215,2215.169331,2488.175819,2425.116474,2303.229941,2406.922931,2369.46463,2198.796012,2.1
1031.373239,1065.302337,1149.375,1179.204385,1587.424936,1574.68598,1593.009603,1628.322023,1943.403969,2197.78185,2254.568022,2310.28057,2394.862036,2573.466549,2704.394686,2734.850032,2735.287932,2805.215589,2938.193022,2997.825384,2987.777529,2945.139245,3062.935659,3193.735915,3341.455506,3329.243918,3364.928617,3379.494238,3370.269526,3352.994078,3354.017286,3297.317382,2899.273528,2945.59379,2930.602113,2886.183739,2852.049136,2808.126921,2568.987356,3.8
664.7186264,725.9139104,793.5345783,810.6969457,1188.489634,1210.470802,1217.337079,1237.721475,1528.702326,1828.486153,1896.055389,1956.152872,2021.989239,2303.995094,2413.676215,2576.984966,2629.289761,2694.02532,2795.900775,2926.42665,2918.807248,2910.868017,3082.417788,3188.169964,3311.475075,3334.530464,3490.427916,3523.202405,3345.631113,3413.470486,3394.078968,3319.134357,2910.777338,3003.669726,2951.21649,2832.935275,2941.486311,2974.81975,2806.421111,8.725
1046.703425,1109.076665,1230.002881,1250.320743,1720.854033,1723.733195,1730.528809,1757.308579,2129.972951,2443.201825,2508.74936,2542.835307,2622.454706,2748.942382,2819.449584,2837.742798,2841.891485,2843.986076,2882.132682,2863.564821,2815.089629,2771.276729,2910.49968,2994.987836,2986.085147,3002.916933,3166.105154,3095.581626,2893.626921,2866.451184,2851.432939,2704.133483,1995.971191,2160.766325,2069.304257,1913.173656,2097.96783,2049.4992,1850.994878,8.375
404.3590758,452.6192436,498.2345308,511.5329957,787.6635544,796.3101757,797.7865169,811.002532,1014.314923,1225.483146,1265.385188,1319.890647,1402.772432,1587.050008,1710.303371,1831.972622,1844.619085,1941.44295,2035.561323,2100.554835,2076.815319,2126.543124,2294.728913,2446.706283,2612.689191,2648.408767,2707.472385,2740.469695,2655.445007,2758.983225,2732.206837,2617.383922,2136.044786,2259.41668,2288.524134,2294.44295,2228.512581,2181.607216,2127.809147,1.775
1636.894206,1692.295455,1751.471511,1778.802017,2262.126921,2238.12356,2253.37548,2291.877721,2690.179257,2991.462068,3017.524648,3066.598111,3093.194302,3267.244878,3405.623079,3319.231274,3298.464949,3319.212708,3297.525288,3290.604513,3260.955186,3241.247599,3276.72023,3370.891965,3404.505922,3407.125,3462.931018,3470.550256,3307.971191,3220.934379,3188.53105,3083.240237,2446.772407,2746.402849,2690.821703,2572.87356,2532.216229,2496.59443,2400.483195,7.575
449.9495839,488.1137964,569.8020166,584.3164213,837.1400448,847.6091549,870.4862356,906.3873239,1103.825224,1365.134283,1410.510243,1457.526729,1522.278329,1776.783611,1871.640365,1992.339469,2014.642926,2120.658131,2212.316421,2362.244878,2356.981914,2354.696863,2529.602753,2646.59267,2770.776569,2794.552657,2922.09251,2953.254802,2824.09491,2855.057939,2815.252881,2739.502081,2261.975992,2317.997919,2327.420134,2331.920615,2323.028009,2292.092029,2144.479033,2.4
482.9582665,498.3102729,556.7316212,571.6507223,867.8133226,881.7481541,883.4327448,890.2093098,1114.066774,1378.983788,1416.001124,1451.682504,1499.894222,1726.367576,1834.645907,1948.792456,1972.653933,2025.488925,2143.99679,2257.848315,2245.979454,2254.336437,2448.775923,2547.501445,2690.418138,2719.512681,2821.618138,2832.204013,2746.566292,2835.59679,2818.492616,2715.82825,2173.591493,2307.847994,2315.158909,2327.960032,2386.304976,2345.636437,2162.247352,1.575
1044.432778,1086.975992,1205.841709,1232.986716,1676.170775,1680.326344,1686.06162,1709.203105,2007.850672,2292.600672,2342.516485,2379.206466,2449.994078,2604.823944,2710.78137,2699.15509,2710.12404,2750.423335,2813.653169,2815.670455,2777.304898,2732.551376,2870.223592,2926.208387,2999.679738,3010.9371,3151.859635,3091.783611,2862.496959,2921.18598,2871.881082,2775.474392,2220.769366,2310.579065,2265.535691,2194.993118,2306.383643,2301.855954,2162.40765,11.8
435.8902049,487.2167093,552.6765365,561.1478873,836.7488796,841.7267926,851.6387644,875.199904,1075.117798,1331.904289,1381.770006,1424.680698,1495.419174,1680.172855,1793.426216,1902.381562,1922.159731,1994.864117,2087.378841,2186.65781,2168.196223,2175.828585,2367.533771,2483.277849,2592.536812,2619.298496,2660.278969,2706.493918,2645.572983,2704.616997,2719.887484,2603.56146,2136.442862,2228.302497,2218.293534,2200.373079,2111.78281,2051.739277,1900.401408,4.475
505.8086039,545.1237013,606.1142857,621.1730519,930.0412338,937.5288961,953.1345779,978.6368506,1233.633604,1513.172565,1558.014773,1607.374351,1674.88263,1910.335877,2056.128571,2164.469318,2192.244643,2261.245617,2390.289935,2511.309091,2482.701786,2491.859091,2698.640097,2819.893994,2964.257468,2971.979383,3086.909091,3114.119481,2991.803409,3050.811851,3036.17013,2921.799188,2357.564286,2681.340422,2642.079708,2570.839448,2646.769805,2590.338961,2383.587175,4.65
563.5680218,603.1882202,662.3753201,673.5200064,1023.597151,1031.521607,1035.776729,1056.417254,1346.201024,1644.409891,1680.854193,1739.987516,1823.609795,2076.224872,2254.815301,2399.275288,2415.695423,2521.865557,2651.714629,2795.872759,2792.816261,2813.419974,2920.59283,3085.839949,3250.507362,3262.685019,3405.066901,3439.732074,3395.671415,3386.838828,3370.689981,3284.109955,2821.197023,3048.004161,2938.035051,2724.488316,2905.548015,2954.93774,2768.862836,4.125
853.0788099,933.9322678,1005.28264,1022.867068,1490.008862,1492.338819,1497.886374,1514.692198,1859.073746,2128.839215,2161.5417,2211.19022,2281.185789,2437.071372,2571.232473,2565.790157,2550.713879,2587.311758,2646.112834,2690.756449,2659.744263,2613.889698,2748.126602,2820.068998,2904.216173,2915.937015,3001.973888,2968.921823,2805.38677,2858.7047,2820.285013,2729.838266,2226.413673,2302.037031,2260.504352,2181.210635,2242.776547,2228.087039,2043.30796,8.55
513.2910271,567.328533,615.9547397,629.6358601,940.5945561,947.7050166,948.3168223,960.5921823,1162.898402,1398.732394,1431.381864,1474.911537,1538.708656,1730.674474,1866.991296,1949.394524,1956.478082,2010.697579,2105.945245,2232.0978,2222.456718,2227.34515,2405.799177,2505.565912,2635.919133,2656.78984,2784.97642,2798.266814,2747.596297,2791.403228,2768.589967,2703.372844,2245.592024,2383.436303,2366.238329,2334.479348,2389.688875,2378.809305,2205.579839,3.9
521.584347,536.7162292,596.0769846,618.9897567,912.5054417,922.5171255,927.4596671,932.0944302,1124.615717,1362.081626,1401.019686,1433.823143,1478.542734,1670.297695,1784.06322,1875.643086,1894.587388,1927.709987,2047.753521,2125.895327,2110.196383,2122.984155,2312.756242,2423.927177,2559.042093,2581.644686,2708.013924,2688.118918,2596.025448,2671.350032,2635.059859,2519.611396,2014.871959,2046.298656,2042.28041,2038.210467,2130.335147,2082.014085,1880.612356,1.45
657.7983355,705.1935019,785.8442702,804.5083227,1149.483195,1159.84235,1165.886844,1190.060179,1438.964949,1673.613476,1714.838828,1744.246959,1825.412772,2039.815941,2158.93646,2275.422375,2276.055378,2291.016485,2314.731754,2444.478073,2422.628521,2414.809859,2543.921575,2626.363316,2780.385563,2802.659411,2953.869558,2928.990237,2766.646287,2841.822023,2787.40717,2625.602753,2007.412292,2245.018726,2224.973271,2209.833227,2339.451985,2275.927497,2135.494718,4.225
