b28,b33,b36,b47,b54,b56,b57,b58,b59,b60,b63,b64,b67,b69,b71,b72,b78,b90,b91,b92,b103,b105,b106,b108,b109,b112,b113,b127,b131,b142,b143,b144,b148,b152,b154,b157,b161,b162,b163,TS
794.4010883,861.824904,904.0233675,1019.630442,1169.698784,1276.353073,1304.552977,1331.904289,1357.536492,1381.770006,1443.225672,1470.608195,1526.862036,1555.770967,1599.15685,1626.322663,1739.403809,1977.78265,1994.864117,2014.574264,2207.729994,2215.677657,2207.169494,2168.196223,2150.212708,2217.809859,2259.242958,2592.536812,2683.608995,2682.435659,2693.964149,2704.616997,2362.127881,2136.442862,2189.276248,2208.441101,2051.739277,1976.298496,1900.401408,4.475
892.7119797,949.3082766,993.7339769,1100.247666,1253.771958,1354.492166,1376.1304,1398.732394,1414.623675,1431.381864,1504.962019,1523.018199,1569.679221,1607.400063,1656.762937,1672.088463,1801.480772,1998.963127,2010.697579,2041.831302,2204.685235,2223.176135,2227.524767,2222.456718,2205.508783,2271.964077,2314.948726,2635.919133,2832.862003,2790.136097,2805.683336,2791.403228,2494.204146,2245.592024,2286.737617,2347.877987,2378.809305,2289.855357,2205.579839,3.9
932.3486311,1013.583795,1058.502453,1222.334388,1368.051116,1466.769742,1507.601677,1548.262542,1578.05982,1608.252255,1670.290078,1701.050324,1779.978636,1818.359392,1860.550245,1873.797753,2014.024371,2242.692356,2267.333281,2300.1812,2486.478398,2486.637759,2483.401171,2467.890014,2451.682386,2507.049691,2548.792372,2968.672258,3119.243076,3078.035923,3081.194968,3087.41937,2738.00633,2502.067416,2558.010603,2526.133565,2556.476025,2515.339294,2473.190378,2.175
1281.43298,1306.591233,1369.943504,1507.86137,1693.966609,1791.520494,1816.041146,1839.873239,1858.252572,1877.053173,1949.453395,1954.356227,2001.946036,2052.446115,2069.96376,2093.677006,2177.814686,2285.281057,2300.029435,2317.748536,2405.305586,2405.101282,2401.372053,2375.248299,2352.876246,2374.850768,2395.902358,2650.329957,2719.358443,2592.462415,2593.659598,2613.613072,2194.133091,1987.786833,2004.29894,1959.566229,1831.392784,1738.749327,1653.725273,4.95
1282.926857,1342.527849,1380.980474,1560.362516,1736.102753,1850.145327,1878.40493,1905.732554,1919.886204,1932.772407,2021.411812,2031.867798,2087.210147,2151.141805,2200.628521,2217.433419,2289.18662,2492.158451,2518.454065,2552.245198,2702.458707,2728.830346,2734.670294,2705.012164,2681.09379,2735.323303,2775.53249,3064.466229,3145.650928,3127.529449,3126.997439,3137.59523,2860.710627,2748.288572,2761.304417,2750.740877,2719.550896,2620.52993,2527.574264,9.0
1652.413644,1780.333387,1821.508989,2073.317335,2318.626324,2445.836437,2474.37512,2500.354414,2524.055538,2548.288443,2630.78427,2647.578812,2686.386677,2710.236918,2744.671268,2752.854575,2849.494061,2836.151685,2853.400482,2882.446388,2951.894703,2922.948957,2910.033868,2875.525843,2821.572552,2838.817657,2874.467897,3011.880417,3124.862279,2878.509952,2891.736437,2901.597592,2428.922151,2172.855377,2278.62809,2193.729695,2151.164045,2093.999839,2042.310433,5.775
782.761526,838.2061688,885.2118506,996.4047078,1135.982468,1222.891721,1249.832468,1276.120617,1290.60276,1305.186039,1385.728409,1408.921104,1464.213961,1503.564935,1555.761039,1586.312987,1689.955195,1935.804708,1965.588799,1989.660552,2118.217045,2135.671266,2141.616071,2144.973377,2125.108442,2164.299675,2189.257305,2582.50487,2662.839935,2656.01461,2676.562013,2671.434578,2231.064286,2006.527435,2015.966234,2071.90763,2013.571104,1911.604545,1823.953409,1.9
937.7684059,1020.93662,1057.799456,1202.520166,1398.443822,1502.460787,1518.559059,1537.84219,1574.550576,1611.473431,1662.8113,1684.50016,1754.03137,1807.43726,1868.68758,1878.743598,1987.7508,2259.826504,2256.704225,2313.703425,2519.899008,2518.570583,2522.051697,2507.546575,2483.949424,2550.548175,2592.50112,2989.456786,3139.728393,3187.819782,3179.160851,3168.24936,2827.337068,2699.216869,2664.620198,2707.039373,2636.339309,2498.517446,2379.989117,1.675
963.2485595,1039.393246,1101.385243,1274.822023,1439.834667,1568.648528,1606.180858,1644.409891,1663.356274,1680.854193,1783.272727,1805.738636,1891.681658,1963.885563,2001.0,2021.150608,2178.739277,2480.995839,2521.865557,2557.303457,2750.132362,2780.845711,2791.049296,2792.816261,2786.12644,2851.963348,2890.085948,3250.507362,3464.883163,3406.113796,3400.472471,3386.838828,3037.923816,2821.197023,2893.162932,2829.53185,2954.93774,2861.72007,2768.862836,4.125
1098.816901,1173.447343,1219.014885,1357.052657,1528.077945,1617.683579,1647.145487,1673.613476,1694.431018,1714.838828,1763.699904,1794.954545,1856.336588,1892.138764,1941.838508,1971.403489,2084.099072,2283.683899,2291.016485,2300.791613,2422.622439,2452.410051,2453.369878,2422.628521,2395.444782,2449.886204,2486.056818,2780.385563,2952.756402,2861.420935,2852.390525,2841.822023,2419.369078,2007.412292,2216.114277,2202.455026,2275.927497,2192.40509,2135.494718,4.225
