b52,b58,b59,b64,b66,b69,b71,b72,b77,b78,b80,b91,b92,b95,b96,b99,b104,b109,b136,b143,b144,b152,b158,b161,b162,TS
1180.198291,1453.110777,1483.720525,1601.484412,1662.996518,1739.66213,1760.008546,1778.942238,1907.258743,1937.901408,1963.762937,2210.718785,2245.675898,2369.729862,2403.37775,2420.60595,2483.020731,2461.84871,3089.313182,3060.76626,3070.843804,2672.348315,2672.490742,2632.573192,2580.322994,2.175
1199.782561,1411.719576,1443.900617,1564.758981,1609.543599,1666.135464,1731.989081,1730.805349,1818.329166,1841.739199,1841.724956,2054.736509,2093.465263,2155.112676,2159.885583,2196.234689,2241.083399,2201.001899,2732.492958,2799.786042,2790.491375,2092.337237,2141.736351,2211.002532,2142.607058,4.625
1657.834992,1922.126645,1956.984751,2077.360514,2142.924719,2179.791332,2204.182183,2238.239807,2333.447352,2355.17496,2390.982825,2515.578812,2535.749278,2616.710754,2638.293579,2662.84077,2694.245425,2594.095666,3108.76549,3029.428892,3021.153933,2528.175923,2561.379615,2385.767897,2255.975762,6.45
2345.392942,2588.687134,2641.267131,2734.837,2770.663238,2782.403228,2833.29435,2858.352904,2935.550404,2939.997784,3005.221079,2991.097167,2987.845545,2916.067416,2922.444532,2965.516854,2941.89856,2825.202089,3066.031176,3038.39579,2982.503402,2233.330907,2163.035132,2109.173762,1999.407185,6.05
1461.732554,1690.632522,1712.264085,1833.65733,1857.069622,1919.975512,1951.196863,1975.179738,2028.741837,2039.825224,2080.581146,2218.108835,2234.476793,2257.746479,2255.665333,2253.770487,2260.74904,2223.15765,2467.059539,2488.628521,2459.097151,1645.372919,1587.703905,1602.246479,1480.995038,4.525
1330.137205,1556.745846,1578.012818,1689.056813,1727.141795,1771.981801,1833.26175,1847.290711,1956.489001,1985.57699,2039.00902,2142.777022,2176.94746,2240.70106,2242.48457,2292.180567,2357.998576,2316.62684,2735.817218,2765.381389,2741.224561,2166.019307,2160.409084,2222.793796,2203.683652,3.475
1242.766419,1451.523659,1472.160627,1573.516537,1615.705966,1703.708182,1716.303371,1746.379332,1872.296724,1889.541067,1932.211426,2108.078968,2129.261434,2207.367305,2227.793955,2259.483463,2345.270454,2327.58063,2905.231366,2940.510049,2937.205412,2339.014559,2334.263491,2490.405444,2389.989555,3.275
1862.09491,2162.571383,2180.010083,2330.944782,2377.090589,2432.007042,2471.356914,2472.993438,2577.176857,2598.704225,2630.867958,2754.991357,2801.904449,2805.525288,2828.585627,2868.065941,2862.748079,2748.935659,3114.479994,3044.144686,3032.734955,2315.828585,2344.121639,2421.319942,2320.725512,11.2
1361.585061,1665.316031,1665.464156,1728.833201,1769.558316,1867.866909,1883.934325,1906.445007,2021.337079,2054.750119,2050.110935,2213.771483,2254.143377,2331.512265,2331.172337,2334.243709,2423.93021,2370.628897,2872.278525,2912.018516,2875.566387,2094.572242,2250.213958,2345.322361,2204.412724,1.625
1204.360755,1464.430218,1486.616037,1605.360755,1662.158451,1719.163572,1760.916133,1771.568022,1896.3113,1917.007522,1943.87532,2150.268246,2177.054417,2256.427177,2275.110275,2302.119238,2367.479353,2339.778969,2846.18758,2866.167093,2862.755602,2289.252081,2293.586588,2329.956786,2289.808259,2.25
2375.120779,2661.041071,2688.086851,2824.381331,2838.226461,2904.044968,2889.987175,2948.676299,3024.941234,3032.166071,3032.888149,3099.330195,3098.031981,3113.943669,3126.989448,3123.598377,3129.277597,2998.586039,3189.988799,3144.939773,3069.710714,2319.476786,2286.278896,2174.693344,2080.971266,6.45
1454.850672,1730.68806,1758.074104,1879.600832,1947.335147,2000.901889,2021.56226,2041.041773,2144.742798,2177.341709,2195.691581,2411.483515,2437.079385,2539.238636,2570.236716,2575.960147,2610.364117,2575.545455,3129.755922,3052.972471,3075.047535,2614.326344,2570.192862,2486.308579,2399.996799,2.125
2690.179257,2991.462068,3004.784091,3103.244078,3096.337708,3175.277689,3241.31258,3260.421735,3253.760243,3253.994558,3354.913892,3319.212708,3334.724872,3297.525288,3274.239437,3308.940301,3324.06322,3238.107875,3385.421255,3242.358195,3220.934379,2446.772407,2572.87356,2496.59443,2443.325384,7.575
1415.567045,1694.326136,1708.833766,1830.637987,1867.498864,1904.085065,1945.934416,1969.641883,2095.742045,2115.775325,2169.614773,2343.514123,2377.821916,2449.732955,2468.034091,2539.776299,2581.487987,2530.025812,3054.013799,3036.261364,2998.010065,2296.581006,2332.507955,2460.013312,2340.930682,3.0
1203.685659,1461.018406,1476.383643,1579.212868,1621.65557,1681.28233,1745.306978,1759.96783,1868.708867,1898.671895,1945.669174,2130.855154,2168.510883,2239.951504,2242.704866,2292.427977,2385.943502,2368.296255,2991.322823,3051.790333,3026.90749,2446.497439,2480.051536,2630.899968,2569.585147,4.825
