b20,b21,b31,b34,b35,b36,b48,b54,b55,b59,b70,b71,b73,b78,b99,b104,b126,TS
557.3184048,569.412407,848.1253363,881.8409558,891.7474284,902.0928944,1040.454819,1154.056022,1210.991138,1319.465263,1546.947618,1582.178984,1589.181041,1671.24181,2072.419845,2127.305903,2495.186422,2.3
572.6592815,592.614496,896.3600253,922.7365089,936.8012344,951.0541225,1144.806457,1279.135623,1345.713562,1483.720525,1749.003007,1760.008546,1797.200981,1937.901408,2420.60595,2483.020731,2912.506093,2.175
630.3635069,651.5192277,952.4296566,996.5570502,1002.64678,1010.090046,1174.831461,1276.881943,1327.138788,1443.900617,1701.413357,1731.989081,1728.99003,1841.739199,2196.234689,2241.083399,2666.622567,4.625
932.3648475,953.4420546,1343.793419,1375.853291,1389.628732,1402.973515,1610.67817,1751.288283,1807.986517,1956.984751,2187.758748,2204.182183,2268.905457,2355.17496,2662.84077,2694.245425,2947.527769,6.45
1502.245608,1540.595664,2012.67938,2019.00902,2033.927204,2049.807248,2333.775439,2409.584428,2460.918342,2641.267131,2808.75724,2833.29435,2883.910112,2939.997784,2965.516854,2941.89856,3064.705966,6.05
736.1678937,749.6414853,1139.797855,1179.199104,1200.509283,1223.009283,1402.439341,1559.447503,1616.089789,1712.264085,1936.076344,1951.196863,1999.845871,2039.825224,2253.770487,2260.74904,2529.200384,4.525
661.0033233,675.8518753,1038.162367,1070.308593,1084.337395,1097.909321,1278.31065,1401.151765,1445.720684,1578.012818,1802.656749,1833.26175,1861.338186,1985.57699,2292.180567,2357.998576,2695.151606,3.475
645.6304795,669.2962494,962.0705808,999.8680171,1011.568919,1023.827504,1164.151132,1332.379965,1386.169331,1472.160627,1708.687767,1716.303371,1776.985282,1889.541067,2259.483463,2345.270454,2758.72464,3.275
967.1056338,998.759443,1433.057298,1469.90781,1480.81146,1501.101793,1785.517446,1967.721511,2032.37404,2180.010083,2458.493438,2471.356914,2483.639885,2598.704225,2868.065941,2862.748079,3115.560819,11.2
731.6739991,750.2497231,1109.806298,1124.06615,1140.148125,1155.305428,1295.806298,1455.827821,1526.101124,1665.464156,1873.523975,1883.934325,1929.13404,2054.750119,2334.243709,2423.93021,2772.711505,1.625
658.5757042,676.3629962,966.7275928,1019.778649,1021.182138,1021.769206,1163.162932,1308.979513,1372.534571,1486.616037,1740.551536,1760.916133,1780.324584,1917.007522,2302.119238,2367.479353,2796.153809,2.25
1433.433442,1443.418019,1944.681981,2003.543669,2046.909091,2089.124675,2277.984578,2445.534416,2496.319156,2688.086851,2896.470292,2889.987175,3008.444156,3032.166071,3123.598377,3129.277597,3208.89789,6.45
726.4198143,743.9460627,1112.216229,1144.002881,1157.340109,1171.011684,1404.884443,1550.346031,1607.666933,1758.074104,2010.205506,2021.56226,2060.932458,2177.341709,2575.960147,2610.364117,2994.899968,2.125
1751.471511,1778.802017,2238.12356,2291.877721,2314.609475,2335.630602,2582.955666,2779.048015,2840.130442,3004.784091,3207.87596,3241.31258,3279.334187,3253.994558,3308.940301,3324.06322,3413.351152,7.575
681.9521104,707.5332792,1083.117045,1142.360714,1157.514935,1171.925325,1361.153409,1498.709253,1565.531331,1708.833766,1925.065909,1945.934416,1992.593506,2115.775325,2539.776299,2581.487987,2914.494156,3.0
627.3106594,639.9654289,967.5305698,986.6714149,996.5867478,1006.533771,1151.852913,1292.453585,1354.273047,1476.383643,1714.184699,1745.306978,1772.548816,1898.671895,2292.427977,2385.943502,2864.973431,4.825
570.179617,584.344833,894.4975471,921.6520019,936.8363665,952.5557841,1111.7536,1266.913594,1333.936857,1422.141795,1722.670517,1744.548663,1795.042095,1861.562906,2360.51179,2414.207311,2906.336129,4.35
