b14,b100,b138,b142,b150,b152,b155,b158,b160,b163,TS
609.128041,2252.854994,2363.564821,2493.832907,1916.363476,1645.372919,1718.697503,1587.703905,1623.538252,1372.525288,4.525
513.9181833,2292.980693,2617.433455,2764.237221,2376.878145,2166.019307,2261.772749,2160.409084,2215.902516,2189.765469,3.475
527.193385,2268.184839,2814.352746,2936.384238,2587.607375,2339.014559,2568.355436,2334.263491,2492.348473,2291.948568,3.275
801.6600512,2851.598271,2989.28057,3048.914693,2593.979834,2315.828585,2449.24856,2344.121639,2494.231274,2273.244878,11.2
642.1425859,2349.701219,2789.407659,2941.830511,2451.268713,2094.572242,2360.658965,2250.213958,2413.602785,2078.234847,1.625
519.5947503,2293.802817,2767.980794,2870.34507,2457.677177,2289.252081,2408.129161,2293.586588,2347.494558,2260.307778,2.25
1272.621591,3132.313799,3024.358766,3169.254058,2484.272565,2319.476786,2368.489448,2286.278896,2229.250325,1992.778571,6.45
626.6165173,2574.535051,3048.838988,3047.261364,2676.984795,2614.326344,2638.201665,2570.192862,2528.983515,2321.099712,2.125
1636.894206,3350.822663,3265.369398,3263.642606,2653.692382,2446.772407,2746.402849,2572.87356,2532.216229,2400.483195,7.575
542.6381494,2542.388149,2935.3125,3058.259091,2513.106331,2296.581006,2484.959253,2332.507955,2470.259091,2220.751461,3.0
509.1691741,2289.455986,2879.366677,3050.754641,2763.255602,2446.497439,2637.387004,2480.051536,2626.715429,2519.358035,4.825
483.9329008,2357.953315,2862.081817,2994.369837,2583.372211,2461.030068,2508.751385,2489.096851,2546.681437,2428.413831,4.35
553.136414,2388.575408,2969.056971,3109.344833,2598.55167,2233.287545,2457.743472,2355.463364,2487.648046,2296.256686,2.15
858.2660231,2849.932901,3168.66213,3149.24007,2797.749486,2447.335813,2631.371103,2642.945719,2631.388511,2341.686976,8.125
447.4583867,2131.600992,2722.170294,2783.449584,2453.246639,2273.491997,2383.425896,2374.245038,2393.260403,2152.354513,1.475
1046.703425,2876.669974,2860.380762,2883.026248,2311.760243,1995.971191,2160.766325,1913.173656,2097.96783,1850.994878,8.375
511.0473752,2318.864917,2914.223111,3095.180058,2711.71927,2351.990717,2610.565301,2487.828745,2645.235595,2487.637484,1.325
