b14,b15,b16,b17,b20,b21,b22,b23,b32,b36,b45,b46,b48,b49,b50,b51,b52,b53,b55,b56,b57,b58,b62,b63,b64,b68,b69,b75,b76,b80,b84,b85,b88,b89,b90,b91,b95,b96,b102,b103,b105,b107,b108,b110,b111,b112,b116,b120,b123,b124,b126,b127,b131,b132,b135,b137,b139,b142,b145,b146,b152,b155,b156,b158,b160,b161,b163,TS
654.1446863,693.2098271,728.3165813,748.6402049,820.7916133,847.478073,875.231274,902.3450704,1278.294174,1328.744398,1511.567061,1529.786812,1558.606754,1575.701504,1592.919654,1597.881562,1596.699584,1614.316741,1756.961428,1807.300416,1844.445262,1881.037132,1985.685179,2023.71975,2053.696863,2135.49888,2157.524488,2272.086428,2297.204065,2418.870038,2512.917734,2542.924456,2525.767125,2534.662772,2547.78041,2562.490397,2646.523047,2672.50048,2707.051697,2733.34219,2717.131882,2724.347471,2707.022887,2648.254161,2662.46911,2683.31386,2730.81226,2931.15653,3003.538252,3019.416453,3020.471831,3020.837708,3176.982875,3168.191261,3224.974552,3093.755922,3043.721031,3017.650608,2958.143406,2870.233515,2298.674776,2448.389085,2413.050896,2342.364597,2376.273367,2353.316421,2169.052497,8.875
447.4583867,478.5102433,503.7863316,516.7205506,555.2952945,565.8185019,578.6760563,591.9710307,847.762484,881.7778489,968.9806338,981.796735,996.8484315,1009.846511,1026.759603,1038.899968,1051.232554,1079.492478,1218.798976,1251.658131,1266.572663,1281.707586,1368.831626,1402.349232,1416.706466,1493.49856,1520.043534,1653.949264,1676.09443,1790.893566,1905.111236,1913.573464,1945.503361,1954.96767,1964.691741,1976.458547,2070.06402,2082.608515,2152.222631,2165.085627,2201.074904,2221.887964,2215.809379,2189.0008,2217.447183,2252.638444,2361.850352,2492.091709,2562.973111,2584.025928,2630.28201,2655.485755,2795.288412,2803.900288,2892.879802,2770.93694,2735.953265,2783.449584,2773.756402,2697.338828,2273.491997,2383.425896,2380.885403,2374.245038,2393.260403,2350.620038,2152.354513,1.475
550.6664029,550.0468429,557.1910112,580.7974363,640.399905,655.6645039,678.0822915,700.2745688,991.2098433,1032.153822,1126.463681,1143.931951,1183.745371,1219.21918,1258.845387,1251.874347,1236.081658,1251.906156,1387.38044,1435.258743,1476.686818,1514.338503,1573.896344,1596.060136,1605.07153,1695.747112,1727.373002,1849.41573,1882.337553,1939.633486,2027.173129,2054.547397,2097.762621,2099.850609,2101.161418,2104.037348,2243.966925,2250.189745,2335.749486,2354.368254,2400.906156,2347.276943,2319.882576,2276.929736,2329.491059,2381.217914,2563.530305,2648.264757,2732.846653,2754.796487,2763.949834,2774.658332,2977.799494,2931.725906,2941.385504,2815.163159,2809.776863,2937.581263,2885.416838,2766.676215,2215.169331,2488.175819,2425.116474,2303.229941,2406.922931,2369.46463,2198.796012,2.1
1031.373239,1048.426376,1065.302337,1082.706946,1149.375,1179.204385,1204.62644,1228.946863,1593.009603,1657.665493,1825.548976,1849.71879,1886.959347,1890.49968,1878.225672,1899.254001,1943.403969,1996.395967,2116.408131,2152.93902,2175.514565,2197.78185,2310.28057,2336.204706,2364.504321,2474.145647,2501.584507,2573.466549,2591.645006,2671.696383,2738.631082,2734.850032,2790.306178,2797.361076,2800.589309,2805.215589,2938.193022,2936.737836,2976.160371,2997.421895,2986.434059,2997.825384,2987.777529,2935.12612,2945.139245,2966.726472,3062.935659,3193.735915,3252.025448,3263.202465,3353.086108,3341.455506,3388.273367,3379.494238,3491.628041,3370.269526,3298.789853,3325.986236,3354.017286,3297.317382,2899.273528,2945.59379,2930.602113,2886.183739,2852.049136,2808.126921,2568.987356,3.8
664.7186264,697.235322,725.9139104,742.576357,793.5345783,810.6969457,831.8395316,854.3616078,1217.337079,1277.418895,1405.948251,1425.356227,1487.381231,1501.933217,1497.990505,1507.166799,1528.702326,1564.842064,1722.199399,1772.097326,1800.067257,1828.486153,1956.152872,1979.71736,2000.727489,2131.50087,2164.131825,2303.995094,2327.326792,2415.544706,2519.941446,2576.984966,2646.914543,2660.831461,2676.640133,2694.02532,2795.900775,2815.33692,2878.659123,2921.507201,2925.766893,2926.42665,2918.807248,2887.459883,2910.868017,2948.710081,3082.417788,3188.169964,3262.727963,3281.816268,3296.780503,3311.475075,3560.125495,3523.202405,3471.395316,3345.631113,3331.732869,3422.519702,3394.078968,3319.134357,2910.777338,3003.669726,2951.21649,2832.935275,2941.486311,2974.81975,2806.421111,8.725
1046.703425,1076.611556,1109.076665,1144.75,1230.002881,1250.320743,1280.168534,1309.327785,1730.528809,1798.773528,1966.154449,1983.482394,2060.178457,2089.862996,2113.641965,2122.239277,2129.972951,2161.525448,2296.180538,2348.852913,2397.579225,2443.201825,2542.835307,2547.511364,2585.214629,2631.484155,2637.986556,2748.942382,2758.59331,2809.408451,2826.40637,2837.742798,2824.1879,2830.053457,2835.858035,2843.986076,2882.132682,2899.56194,2918.168534,2943.477113,2923.634763,2863.564821,2815.089629,2732.713188,2771.276729,2809.178777,2910.49968,2994.987836,3012.859795,3007.901569,2975.021927,2986.085147,3156.690141,3095.581626,3060.632362,2893.626921,2874.273848,2883.026248,2851.432939,2704.133483,1995.971191,2160.766325,2069.304257,1913.173656,2097.96783,2049.4992,1850.994878,8.375
404.3590758,433.8919133,452.6192436,465.1178984,498.2345308,511.5329957,527.1235955,541.2457667,797.7865169,839.6203513,940.805982,948.2973572,958.6489951,970.2055705,980.8790948,995.1433771,1014.314923,1058.438994,1166.702959,1186.555784,1206.168856,1225.483146,1319.890647,1351.328375,1377.311758,1459.607058,1485.619718,1587.050008,1610.426333,1688.193702,1806.918975,1831.972622,1859.101757,1885.034816,1911.692673,1941.44295,2035.561323,2047.801234,2085.842538,2107.128185,2142.165374,2100.554835,2076.815319,2081.052065,2126.543124,2169.581738,2294.728913,2446.706283,2516.015034,2539.932584,2585.683336,2612.689191,2721.631113,2740.469695,2724.72195,2655.445007,2705.274094,2741.564172,2732.206837,2617.383922,2136.044786,2259.41668,2288.524134,2294.44295,2228.512581,2181.607216,2127.809147,1.775
1636.894206,1668.557939,1692.295455,1702.060659,1751.471511,1778.802017,1832.042254,1886.713828,2253.37548,2335.630602,2534.049456,2571.224232,2582.955666,2619.518566,2671.815781,2688.21815,2690.179257,2715.202785,2840.130442,2893.935819,2942.87372,2991.462068,3066.598111,3107.473912,3103.244078,3147.384283,3175.277689,3267.244878,3259.103873,3354.913892,3342.897887,3319.231274,3286.701184,3296.873239,3308.885563,3319.212708,3297.525288,3274.239437,3321.390205,3296.810339,3339.073944,3290.604513,3260.955186,3223.93742,3241.247599,3261.816741,3276.72023,3370.891965,3347.300096,3352.215749,3413.351152,3404.505922,3475.649328,3470.550256,3469.481434,3307.971191,3280.346351,3263.642606,3188.53105,3083.240237,2446.772407,2746.402849,2690.821703,2572.87356,2532.216229,2496.59443,2400.483195,7.575
449.9495839,469.7019846,488.1137964,511.2544814,569.8020166,584.3164213,587.5099232,590.1275608,870.4862356,923.2080666,1017.101633,1026.621959,1060.270967,1076.210147,1091.303937,1099.774168,1103.825224,1120.419014,1248.907971,1295.651088,1330.183419,1365.134283,1457.526729,1482.503361,1502.902849,1599.683579,1624.837868,1776.783611,1802.850672,1842.430378,1971.755602,1992.339469,2091.306978,2105.712228,2112.252241,2120.658131,2212.316421,2223.191261,2322.5621,2341.639085,2351.633323,2362.244878,2356.981914,2328.432778,2354.696863,2395.597311,2529.602753,2646.59267,2720.150448,2744.091549,2749.957586,2770.776569,2978.253201,2953.254802,2944.983515,2824.09491,2802.298175,2894.709507,2815.252881,2739.502081,2261.975992,2317.997919,2327.420134,2331.920615,2323.028009,2292.092029,2144.479033,2.4
482.9582665,489.3871589,498.3102729,513.2126806,556.7316212,571.6507223,593.4107544,616.7905297,883.4327448,905.6951846,1008.756501,1024.749438,1066.699839,1084.898395,1103.514607,1110.000321,1114.066774,1139.747191,1268.302729,1309.879936,1345.203852,1378.983788,1451.682504,1469.333226,1484.409149,1589.943178,1616.118459,1726.367576,1758.958266,1822.705778,1920.097432,1948.792456,2001.374799,2008.246709,2016.38443,2025.488925,2143.99679,2162.888764,2232.216051,2255.381541,2266.395024,2257.848315,2245.979454,2223.684591,2254.336437,2287.486196,2448.775923,2547.501445,2635.150883,2658.407865,2663.281059,2690.418138,2844.517657,2832.204013,2865.786035,2746.566292,2750.94077,2855.385875,2818.492616,2715.82825,2173.591493,2307.847994,2315.158909,2327.960032,2386.304976,2345.636437,2162.247352,1.575
