b28,b57,b58,b59,b70,b72,b73,b91,b92,b103,b104,b106,b109,b112,b124,b128,b144,b146,b147,b152,b155,b157,b161,b163,TS
1154.755762,1809.850352,1838.497279,1866.145967,2133.606274,2197.37596,2240.358995,2578.684699,2604.505442,2798.367638,2812.284251,2819.422535,2755.102593,2832.041293,3208.444462,3213.086908,3295.684219,3179.911492,3076.889085,2744.923816,2900.826504,2758.891485,2819.956306,2690.238636,6.825
1433.842222,2094.188796,2128.839215,2145.395157,2368.871973,2393.834942,2405.507201,2587.311758,2608.571768,2693.94113,2700.913752,2703.160468,2620.915809,2650.547397,2880.197183,2915.937015,2858.7047,2729.838266,2594.496914,2226.413673,2302.037031,2218.585061,2228.087039,2043.30796,8.55
1341.483355,1984.946543,2010.46767,2035.042254,2252.330026,2271.675096,2264.197503,2438.366197,2474.808739,2565.423656,2549.758163,2523.899008,2449.648848,2458.90685,2683.423335,2691.730314,2564.057458,2376.706786,2193.474712,1660.572823,1811.03009,1672.598431,1697.477433,1435.895166,8.225
807.4560848,1273.181358,1297.360342,1319.465263,1546.947618,1585.471435,1589.181041,1937.880677,1959.114417,2124.193385,2127.305903,2121.70739,2096.550878,2158.64583,2460.247191,2555.020573,2631.990347,2525.813103,2398.880519,2132.929103,2164.056971,2087.592182,2056.05618,1942.321412,2.3
831.1343567,1421.950942,1453.110777,1483.720525,1749.003007,1778.942238,1797.200981,2210.718785,2245.675898,2467.939231,2483.020731,2498.149074,2461.84871,2528.803292,2921.329957,2954.019623,3070.843804,2995.490109,2861.962494,2672.348315,2685.465105,2678.952524,2632.573192,2534.09606,2.175
891.1454344,1385.205887,1411.719576,1443.900617,1701.413357,1730.805349,1728.99003,2054.736509,2093.465263,2250.163475,2241.083399,2221.804241,2201.001899,2252.300839,2605.120747,2702.007913,2790.491375,2668.689033,2508.598354,2092.337237,2196.270771,2158.410824,2211.002532,2076.62953,4.625
1285.699037,1884.958748,1922.126645,1956.984751,2187.758748,2238.239807,2268.905457,2515.578812,2535.749278,2698.673034,2694.245425,2667.586356,2594.095666,2646.083628,2954.881059,2991.689085,3021.153933,2897.798716,2783.2939,2528.175923,2506.760995,2554.536597,2385.767897,2157.303852,6.45
1954.742997,2545.172496,2588.687134,2641.267131,2808.75724,2858.352904,2883.910112,2991.097167,2987.845545,2975.613388,2941.89856,2896.54344,2825.202089,2831.671467,3021.862795,3087.94746,2982.503402,2781.28533,2625.84507,2233.330907,2283.193543,2199.865643,2109.173762,1905.084349,6.05
1096.259123,1670.816741,1690.632522,1712.264085,1936.076344,1975.179738,1999.845871,2218.108835,2234.476793,2267.435819,2260.74904,2240.18838,2223.15765,2233.263924,2463.993118,2538.567382,2459.097151,2319.492478,2172.098111,1645.372919,1718.697503,1629.640045,1602.246479,1372.525288,4.525
980.4734926,1521.887957,1556.745846,1578.012818,1802.656749,1847.290711,1861.338186,2142.777022,2176.94746,2349.052856,2357.998576,2360.927995,2316.62684,2369.354645,2657.932584,2711.379649,2741.224561,2640.009179,2534.322994,2166.019307,2261.772749,2190.559266,2222.793796,2189.765469,3.475
923.2054122,1433.182624,1451.523659,1472.160627,1708.687767,1746.379332,1776.985282,2108.078968,2129.261434,2334.491059,2345.270454,2358.611489,2327.58063,2386.451654,2727.469378,2807.049691,2937.205412,2862.215699,2758.690457,2339.014559,2568.355436,2412.223137,2490.405444,2291.948568,3.275
1353.935339,2127.823303,2162.571383,2180.010083,2458.493438,2472.993438,2483.639885,2754.991357,2801.904449,2847.542734,2862.748079,2863.394206,2748.935659,2819.262324,3087.552017,3091.56386,3032.734955,2866.271287,2726.011684,2315.828585,2449.24856,2325.146287,2421.319942,2273.244878,11.2
1032.78715,1625.788732,1665.316031,1665.464156,1873.523975,1906.445007,1929.13404,2213.771483,2254.143377,2401.667985,2423.93021,2442.350214,2370.628897,2464.51448,2770.049058,2779.329483,2875.566387,2708.64947,2556.463364,2094.572242,2360.658965,2281.443425,2345.322361,2078.234847,1.625
929.3708387,1437.691101,1464.430218,1486.616037,1740.551536,1771.568022,1780.324584,2150.268246,2177.054417,2363.982714,2367.479353,2363.8137,2339.778969,2389.295615,2758.973431,2828.15749,2862.755602,2753.109315,2646.181178,2289.252081,2408.129161,2312.816421,2329.956786,2260.307778,2.25
1846.415584,2605.212662,2661.041071,2688.086851,2896.470292,2948.676299,3008.444156,3099.330195,3098.031981,3136.890584,3129.277597,3100.946429,2998.586039,3009.770292,3219.867208,3201.127922,3069.710714,2872.048701,2731.816396,2319.476786,2368.489448,2306.391396,2174.693344,1992.778571,6.45
1042.314501,1691.382202,1730.68806,1758.074104,2010.205506,2041.041773,2060.932458,2411.483515,2437.079385,2597.691421,2610.364117,2622.930218,2575.545455,2625.370839,3000.205506,3026.524808,3075.047535,3005.549776,2860.558259,2614.326344,2638.201665,2597.430698,2486.308579,2321.099712,2.125
2261.809059,2942.87372,2991.462068,3004.784091,3207.87596,3260.421735,3279.334187,3319.212708,3334.724872,3296.810339,3324.06322,3326.464149,3238.107875,3261.816741,3352.215749,3407.125,3220.934379,3083.240237,2931.56274,2446.772407,2746.402849,2632.537292,2496.59443,2400.483195,7.575
1040.38474,1655.339448,1694.326136,1708.833766,1925.065909,1969.641883,1992.593506,2343.514123,2377.821916,2574.527597,2581.487987,2590.186688,2530.025812,2570.269318,2896.156006,2938.803734,2998.010065,2856.721104,2727.306169,2296.581006,2484.959253,2384.438149,2460.013312,2220.751461,3.0
913.0857875,1429.048496,1461.018406,1476.383643,1714.184699,1759.96783,1772.548816,2130.855154,2168.510883,2369.93758,2385.943502,2394.463028,2368.296255,2446.264885,2810.578585,2881.52993,3026.90749,2911.776248,2825.949744,2446.497439,2637.387004,2519.102913,2630.899968,2519.358035,4.825
846.4483304,1382.308277,1396.290078,1422.141795,1722.670517,1769.677481,1795.042095,2180.045102,2221.627947,2415.022788,2414.207311,2405.571451,2418.220446,2454.241969,2841.430764,2896.468587,2993.073904,2901.45292,2775.846178,2461.030068,2508.751385,2496.842697,2557.254945,2428.413831,4.35
964.5253996,1503.25906,1538.752492,1570.873081,1814.661655,1849.482355,1866.244342,2241.146542,2276.95379,2497.391676,2490.191803,2479.925305,2432.75455,2520.61054,2831.032917,2920.321728,2998.757557,2827.758506,2707.808831,2233.287545,2457.743472,2378.01725,2445.198133,2296.256686,2.15
1399.981801,2050.354961,2082.885108,2118.273303,2375.575566,2415.893654,2438.929103,2725.697737,2752.488368,2859.094002,2873.113942,2873.99636,2793.962494,2822.562906,3123.40671,3176.564646,3144.558949,2970.435987,2826.809147,2447.335813,2631.371103,2640.958854,2519.689983,2341.686976,8.125
813.1552497,1266.572663,1281.707586,1300.237996,1547.683099,1594.471031,1613.511044,1976.458547,2003.323784,2165.085627,2182.53073,2211.713988,2199.107394,2252.638444,2584.025928,2680.681178,2786.065941,2697.338828,2580.653169,2273.491997,2383.425896,2376.661812,2350.620038,2152.354513,1.475
