b29,b30,b58,b59,b60,b71,b75,b96,b98,b103,b104,b127,b141,TS
1716.983788,1755.445746,2500.354414,2524.055538,2548.288443,2744.671268,2755.66565,2930.121188,2939.901284,2951.894703,2941.979615,3011.880417,2863.757624,1.8235008741383936
816.6842532,819.3081169,1276.120617,1290.60276,1305.186039,1555.761039,1630.769156,2041.849513,2068.012825,2118.217045,2129.009416,2582.50487,2606.92224,0.6510734359945963
971.6294814,975.7620038,1537.84219,1574.550576,1611.473431,1868.68758,1942.797695,2406.772087,2430.443662,2519.899008,2518.678617,2989.456786,3155.798335,0.5217562211442857
1014.15749,1023.597151,1644.409891,1663.356274,1680.854193,2001.0,2076.224872,2667.753681,2665.379481,2750.132362,2765.752561,3250.507362,3398.723271,1.4625261659981488
1135.584187,1149.483195,1673.613476,1694.431018,1714.838828,1941.838508,2039.815941,2334.850832,2373.076985,2422.622439,2435.666293,2780.385563,2846.729994,1.488046078815127
864.5040013,874.4580666,1418.173976,1434.919334,1450.246639,1730.12516,1829.229994,2321.133003,2355.152209,2457.84267,2468.384923,2975.915813,3238.321383,0.5063756211519992
1143.28089,1159.515845,1589.396447,1606.372439,1623.501921,1834.53137,1866.907971,2111.836268,2133.198464,2162.557458,2161.305058,2467.349072,2493.503041,2.446156528624075
1202.447343,1218.090909,1838.497279,1866.145967,1893.795935,2152.319782,2272.166453,2675.24984,2734.888124,2798.367638,2812.284251,3194.548175,3288.045935,2.0047304476527037
1487.614179,1490.008862,2128.839215,2145.395157,2161.5417,2383.181041,2437.071372,2648.701219,2678.093369,2693.94113,2700.913752,2904.216173,2833.399589,2.251326780615122
1382.902529,1370.491997,2010.46767,2035.042254,2059.790013,2276.238636,2311.06258,2502.869558,2525.176697,2565.423656,2549.758163,2703.814981,2603.7508,2.208742427466275
842.3487894,845.6751068,1297.360342,1319.465263,1342.48552,1582.178984,1626.873081,1988.174236,2056.878462,2124.193385,2127.305903,2522.85868,2633.076436,0.8484782941909552
875.2826397,886.3763254,1453.110777,1483.720525,1513.052856,1760.008546,1850.055863,2403.37775,2416.485995,2467.939231,2483.020731,2933.434246,3089.39579,0.7905675700722566
931.6811204,942.3927837,1411.719576,1443.900617,1476.729704,1731.989081,1771.451179,2159.885583,2193.53347,2250.163475,2241.083399,2681.189429,2776.718626,1.5846643614924818
1324.406742,1333.817978,1922.126645,1956.984751,1992.398395,2204.182183,2295.033708,2638.293579,2671.47496,2698.673034,2694.245425,2969.164205,3083.872231,1.943272567803069
1997.890647,2007.313974,2588.687134,2641.267131,2695.649312,2833.29435,2923.375218,2922.444532,2967.846969,2975.613388,2941.89856,3076.467479,3045.019782,1.873833608022636
1141.862036,1140.860275,1690.632522,1712.264085,1734.115077,1951.196863,2012.330826,2255.665333,2254.889405,2267.435819,2260.74904,2532.253681,2464.076985,1.5612812165050718
1026.044469,1031.65485,1556.745846,1578.012818,1597.60595,1833.26175,1907.072322,2242.48457,2281.727014,2349.052856,2357.998576,2699.648046,2717.758664,1.2806287135245702
961.0234214,960.74094,1451.523659,1472.160627,1493.208894,1716.303371,1829.978478,2227.793955,2249.316189,2334.491059,2345.270454,2780.011078,2914.810097,1.2180688801047306
1398.590109,1417.262964,2162.571383,2180.010083,2197.398688,2471.356914,2532.238796,2828.585627,2880.144366,2847.542734,2862.748079,3103.091709,3047.425096,2.550040543597077
1079.821649,1097.100649,1665.316031,1665.464156,1667.125495,1883.934325,1966.203671,2331.172337,2323.877671,2401.667985,2423.93021,2776.383288,2896.411458,0.4907706803944981
960.7293534,962.3903649,1464.430218,1486.616037,1507.691261,1760.916133,1840.622119,2275.110275,2302.663892,2363.982714,2367.479353,2803.56194,2874.168214,0.8256837244714933
1911.585065,1928.768669,2661.041071,2688.086851,2711.132468,2889.987175,3018.508279,3126.989448,3121.945617,3136.890584,3129.277597,3200.043669,3127.077273,1.943272567803069
1093.840749,1102.901729,1730.68806,1758.074104,1785.654449,2021.56226,2095.008643,2570.236716,2575.96959,2597.691421,2610.364117,3009.832746,3077.940621,0.7665079810324058
2289.928457,2262.126921,2991.462068,3004.784091,3017.524648,3241.31258,3267.244878,3274.239437,3285.21751,3296.810339,3324.06322,3404.505922,3281.896607,2.118520750124681
1083.737013,1081.921266,1694.326136,1708.833766,1722.002435,1945.934416,2047.821916,2468.034091,2525.994481,2574.527597,2581.487987,2926.39026,3007.999026,1.1258065117288665
953.4553457,960.8122599,1461.018406,1476.383643,1490.752721,1745.306978,1814.951184,2242.704866,2281.450864,2369.93758,2385.943502,2871.746799,2992.664853,1.6300154591773683
890.6608641,892.096376,1396.290078,1422.141795,1449.845229,1744.548663,1815.326634,2321.589176,2351.844912,2415.022788,2414.207311,2899.80978,2953.189112,1.5191462548029435
999.3750593,1009.970565,1538.752492,1570.873081,1602.391676,1836.408134,1931.094319,2332.956955,2354.742523,2497.391676,2490.191803,2918.314607,3051.218705,0.7786046169981008
1435.379332,1449.362716,2082.885108,2118.273303,2153.155879,2393.359551,2489.555784,2810.452762,2828.546289,2859.094002,2873.113942,3163.605317,3190.063934,2.195315654472197
849.5390525,848.3353073,1281.707586,1300.237996,1317.508643,1575.78201,1653.949264,2082.608515,2107.196383,2165.085627,2182.53073,2655.485755,2766.398848,0.3920257514827788
1717.546575,1720.854033,2443.201825,2475.53089,2508.74936,2667.828585,2748.942382,2899.56194,2930.658291,2943.477113,2934.676536,2986.085147,2891.083067,2.2285928948408293
901.7029449,923.3927657,1464.71719,1470.106434,1475.028649,1732.911972,1827.706306,2296.215109,2283.338508,2381.151889,2423.088028,2874.691581,3046.599872,0.2831752583995197
