b25,b34,b35,b57,b58,b94,b100,b110,b127,b161,TS
705.2620668,996.5570502,1002.64678,1385.205887,1411.719576,2162.76626,2187.578256,2196.142902,2681.189429,2211.002532,4.625
1049.360353,1375.853291,1389.628732,1884.958748,1922.126645,2581.761156,2647.905618,2582.00305,2969.164205,2385.767897,6.45
1698.875455,2019.00902,2033.927204,2545.172496,2588.687134,2960.104289,2954.301788,2792.531571,3076.467479,2109.173762,6.05
858.4444622,1179.199104,1200.509283,1670.816741,1690.632522,2261.766805,2252.854994,2203.654449,2532.253681,1602.246479,4.525
775.8787783,1070.308593,1084.337395,1521.887957,1556.745846,2249.568444,2292.980693,2307.336762,2699.648046,2222.793796,3.475
738.4298148,999.8680171,1011.568919,1433.182624,1451.523659,2177.615287,2268.184839,2310.432505,2780.011078,2490.405444,3.275
1122.119238,1469.90781,1480.81146,2127.823303,2162.571383,2839.909411,2851.598271,2736.553777,3103.091709,2421.319942,11.2
820.0340244,1124.06615,1140.148125,1625.788732,1665.316031,2322.199715,2349.701219,2348.808831,2776.383288,2345.322361,1.625
724.6627721,1019.778649,1021.182138,1437.691101,1464.430218,2234.645006,2293.802817,2327.589949,2803.56194,2329.956786,2.25
1579.238474,2003.543669,2046.909091,2605.212662,2661.041071,3093.385714,3132.313799,2966.57711,3200.043669,2174.693344,6.45
833.3961268,1144.002881,1157.340109,1691.382202,1730.68806,2489.398047,2574.535051,2567.070423,3009.832746,2486.308579,2.125
1995.073784,2291.877721,2314.609475,2942.87372,2991.462068,3345.426376,3350.822663,3223.93742,3404.505922,2496.59443,7.575
818.2900974,1142.360714,1157.514935,1655.339448,1694.326136,2443.034416,2542.388149,2497.354545,2926.39026,2460.013312,3.0
710.7227913,986.6714149,996.5867478,1429.048496,1461.018406,2245.275288,2289.455986,2369.725832,2871.746799,2630.899968,4.825
661.7939547,921.6520019,936.8363665,1382.308277,1396.290078,2308.496756,2357.953315,2406.976895,2899.80978,2557.254945,4.35
