b41,b58,b59,b64,b91,b94,b100,b104,b105,b107,b110,b113,b121,b131,b142,b144,b149,b151,b152,TS
1934.611075,2500.354414,2524.055538,2647.578812,2853.400482,2938.200803,2924.421188,2941.979615,2922.948957,2911.194222,2778.703531,2874.467897,2989.719101,3124.862279,2878.509952,2901.597592,2374.870947,2246.207384,2172.855377,5.775
924.3883117,1276.120617,1290.60276,1408.921104,1965.588799,2026.871753,2078.486039,2129.009416,2135.671266,2153.75763,2117.77711,2189.257305,2430.177273,2662.839935,2656.01461,2671.434578,2198.33263,2094.185714,2006.527435,1.9
1116.52993,1537.84219,1574.550576,1684.50016,2256.704225,2403.700064,2438.643086,2518.678617,2518.570583,2528.205026,2467.004481,2592.50112,2844.277369,3139.728393,3187.819782,3168.24936,2818.288412,2784.332266,2699.216869,1.675
1196.709027,1644.409891,1663.356274,1805.738636,2521.865557,2623.294814,2707.296895,2765.752561,2780.845711,2795.872759,2782.403649,2890.085948,3099.772567,3464.883163,3406.113796,3386.838828,3038.618118,3035.96991,2821.197023,4.125
1270.116357,1673.613476,1694.431018,1794.954545,2291.016485,2313.651408,2346.596991,2435.666293,2452.410051,2444.478073,2383.733195,2486.056818,2649.665653,2952.756402,2861.420935,2841.822023,2421.073944,2264.714949,2007.412292,4.225
998.337388,1418.173976,1434.919334,1550.071223,2216.310179,2289.946223,2392.514885,2468.384923,2475.109475,2484.586748,2460.111876,2580.615717,2845.43614,3163.354033,3284.028809,3267.208227,3072.204545,3064.449104,3031.84299,1.65
1250.079065,1589.396447,1606.372439,1709.850512,2072.337548,2127.696863,2163.485115,2161.305058,2162.103873,2143.768726,2056.213508,2143.331466,2352.691741,2560.091549,2528.058579,2469.836428,1945.778969,1842.59523,1830.118118,10.2
1364.104033,1838.497279,1866.145967,2016.507202,2578.684699,2653.981114,2751.00144,2812.284251,2821.263924,2803.107234,2738.023367,2880.072503,3133.56402,3450.987196,3330.169334,3295.684219,2987.31178,2947.247919,2744.923816,6.825
1608.109194,2128.839215,2145.395157,2265.805349,2587.311758,2651.986865,2681.375218,2700.913752,2705.653584,2690.756449,2590.231207,2684.487735,2834.66482,3020.322045,2886.727963,2858.7047,2435.732394,2352.801867,2226.413673,8.55
1535.142125,2010.46767,2035.042254,2125.482234,2438.366197,2533.708387,2510.362516,2549.758163,2534.482875,2519.690781,2409.735435,2483.511684,2636.348912,2849.559539,2630.476953,2564.057458,1982.184859,1847.798496,1660.572823,8.225
950.2258269,1297.360342,1319.465263,1416.084032,1937.880677,1997.254787,2066.477924,2127.305903,2124.596772,2119.918183,2091.41304,2194.590125,2439.945561,2671.225194,2642.305428,2631.990347,2287.729704,2249.532521,2132.929103,2.3
1030.607058,1453.110777,1483.720525,1601.484412,2210.718785,2317.814844,2419.725589,2483.020731,2497.145593,2478.999842,2460.20652,2566.436303,2839.28264,3050.395949,3062.038297,3070.843804,2766.60959,2785.849502,2672.348315,2.175
1068.571926,1411.719576,1443.900617,1564.758981,2054.736509,2162.76626,2187.578256,2241.083399,2229.6721,2223.037822,2196.142902,2279.932584,2524.244659,2855.005855,2799.094952,2790.491375,2352.337553,2287.742048,2092.337237,4.625
1468.932905,1922.126645,1956.984751,2077.360514,2515.578812,2581.761156,2647.905618,2694.245425,2687.254093,2643.42504,2582.00305,2676.742857,2934.383628,3079.873515,3038.391974,3021.153933,2623.588122,2515.382183,2528.175923,6.45
2116.53442,2588.687134,2641.267131,2734.837,2991.097167,2960.104289,2954.301788,2941.89856,2906.215382,2902.863111,2792.531571,2851.140845,2970.454344,3230.420003,3092.013451,2982.503402,2510.050957,2430.360817,2233.330907,6.05
1289.253681,1690.632522,1712.264085,1833.65733,2218.108835,2261.766805,2252.854994,2260.74904,2248.53153,2257.707426,2203.654449,2252.096191,2437.742958,2594.568662,2493.832907,2459.097151,1980.600672,1816.925896,1645.372919,4.525
1152.452129,1556.745846,1578.012818,1689.056813,2142.777022,2249.568444,2292.980693,2357.998576,2363.287387,2350.699636,2307.336762,2401.95474,2589.280741,2851.560057,2764.237221,2741.224561,2409.513372,2335.076278,2166.019307,3.475
