b31,b33,b35,b36,b58,b59,b60,b66,b72,b78,b87,b91,b103,b104,b108,b112,b143,b144,b161,b162,TS
896.3600253,910.4162051,936.8012344,951.0541225,1453.110777,1483.720525,1513.052856,1662.996518,1778.942238,1937.901408,2147.448172,2210.718785,2467.939231,2483.020731,2467.241019,2528.803292,3060.76626,3070.843804,2632.573192,2580.322994,2.175
952.4296566,986.8746637,1002.64678,1010.090046,1411.719576,1443.900617,1476.729704,1609.543599,1730.805349,1841.739199,2019.865169,2054.736509,2250.163475,2241.083399,2212.500079,2252.300839,2799.786042,2790.491375,2211.002532,2142.607058,4.625
1343.793419,1362.513162,1389.628732,1402.973515,1922.126645,1956.984751,1992.398395,2142.924719,2238.239807,2355.17496,2481.491011,2515.578812,2698.673034,2694.245425,2618.251364,2646.083628,3029.428892,3021.153933,2385.767897,2255.975762,6.45
2012.67938,2007.408134,2033.927204,2049.807248,2588.687134,2641.267131,2695.649312,2770.663238,2858.352904,2939.997784,3036.660389,2991.097167,2975.613388,2941.89856,2866.997468,2831.671467,3038.39579,2982.503402,2109.173762,1999.407185,6.05
1139.797855,1160.998239,1200.509283,1223.009283,1690.632522,1712.264085,1734.115077,1857.069622,1975.179738,2039.825224,2181.114757,2218.108835,2267.435819,2260.74904,2250.799296,2233.263924,2488.628521,2459.097151,1602.246479,1480.995038,4.525
1038.162367,1057.402437,1084.337395,1097.909321,1556.745846,1578.012818,1597.60595,1727.141795,1847.290711,1985.57699,2123.795379,2142.777022,2349.052856,2357.998576,2334.272511,2369.354645,2765.381389,2741.224561,2222.793796,2203.683652,3.475
962.0705808,987.0307011,1011.568919,1023.827504,1451.523659,1472.160627,1493.208894,1615.705966,1746.379332,1889.541067,2063.566704,2108.078968,2334.491059,2345.270454,2347.985282,2386.451654,2940.510049,2937.205412,2490.405444,2389.989555,3.275
1433.057298,1458.556338,1480.81146,1501.101793,2162.571383,2180.010083,2197.398688,2377.090589,2472.993438,2598.704225,2684.28009,2754.991357,2847.542734,2862.748079,2800.164373,2819.262324,3044.144686,3032.734955,2421.319942,2320.725512,11.2
1109.806298,1110.659915,1140.148125,1155.305428,1665.316031,1665.464156,1667.125495,1769.558316,1906.445007,2054.750119,2217.598512,2213.771483,2401.667985,2423.93021,2399.590916,2464.51448,2912.018516,2875.566387,2345.322361,2204.412724,1.625
966.7275928,1009.888764,1021.182138,1021.769206,1464.430218,1486.616037,1507.691261,1662.158451,1771.568022,1917.007522,2110.883483,2150.268246,2363.982714,2367.479353,2370.020487,2389.295615,2866.167093,2862.755602,2329.956786,2289.808259,2.25
1944.681981,1970.92013,2046.909091,2089.124675,2661.041071,2688.086851,2711.132468,2838.226461,2948.676299,3032.166071,3071.440097,3099.330195,3136.890584,3129.277597,3042.718344,3009.770292,3144.939773,3069.710714,2174.693344,2080.971266,6.45
1112.216229,1131.713348,1157.340109,1171.011684,1730.68806,1758.074104,1785.654449,1947.335147,2041.041773,2177.341709,2342.800896,2411.483515,2597.691421,2610.364117,2591.272407,2625.370839,3052.972471,3075.047535,2486.308579,2399.996799,2.125
2238.12356,2270.557458,2314.609475,2335.630602,2991.462068,3004.784091,3017.524648,3096.337708,3260.421735,3253.994558,3291.108835,3319.212708,3296.810339,3324.06322,3260.955186,3261.816741,3242.358195,3220.934379,2496.59443,2443.325384,7.575
1083.117045,1126.091558,1157.514935,1171.925325,1694.326136,1708.833766,1722.002435,1867.498864,1969.641883,2115.775325,2322.848052,2343.514123,2574.527597,2581.487987,2563.123052,2570.269318,3036.261364,2998.010065,2460.013312,2340.930682,3.0
967.5305698,978.2525608,996.5867478,1006.533771,1461.018406,1476.383643,1490.752721,1621.65557,1759.96783,1898.671895,2109.31242,2130.855154,2369.93758,2385.943502,2378.24952,2446.264885,3051.790333,3026.90749,2630.899968,2569.585147,4.825
