variant,run,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
MSHHO_I2,8,0.4352465605022783,1.9927985292120023,1.5546002621919566,9,6.247253894805908
MSHHO_I2,9,0.2500658140945712,2.4821397137274475,2.091715424180358,11,6.091192007064819
MSHHO_I2,10,0.18053204627668507,2.817750466656965,2.184999166290867,6,5.706893682479858
MSHHO_I2,11,0.1573379146148869,2.862451753643665,1.9347862387550845,18,6.277333736419678
MSHHO_I2,12,0.36154707406282993,2.5224922191615793,2.1003536492310735,18,5.762004852294922
MSHHO_I2,13,0.3886835535713572,2.3156196332297836,1.9729086479673847,8,6.214709043502808
MSHHO_I2,14,0.40310652998809104,2.588337240810364,2.0142754476724782,1,4.007127046585083
MSHHO_I2,15,0.3332023534504449,2.702685569162217,1.9304612121316809,4,5.272709846496582
MSHHO_I2,16,0.22885170026721235,2.800174674320903,2.0684839234284733,3,5.241688013076782
MSHHO_I2,17,0.2568838079456449,2.6002362104826826,2.1956429495608796,7,5.960338830947876
MSHHO_I2,18,0.18303966320084486,2.422564817358501,1.9655961816373437,16,6.3122639656066895
MSHHO_I2,19,0.2645460116402887,2.244211677980983,1.8386509786439547,12,5.699726104736328
MSHHO_I3,0,0.2122366769751034,2.3615876821129795,1.8221370019812295,1,4.430237054824829
MSHHO_I3,1,0.36998011864193414,2.2760121546750076,1.9906262722324501,2,5.207124948501587
MSHHO_I3,2,0.425311229063671,2.4307337987166577,1.6621791103615426,1,3.9804558753967285
MSHHO_I3,3,0.1313398496656718,2.395064858773977,1.7049337446930206,6,5.806765794754028
MSHHO_I3,4,0.42942124343661603,2.185655456605794,1.6933681687880713,14,6.305972099304199
MSHHO_I3,5,0.24475574509143305,2.766386354096716,2.137670926855257,14,6.0376880168914795
MSHHO_I3,6,0.06276227370806775,3.070564625944403,2.3489078514786947,1,3.998244047164917
MSHHO_I3,7,0.3574388519368191,2.096768200662082,1.7246158015655415,2,4.8854310512542725
MSHHO_I3,8,0.4241888196789735,2.012213221664032,1.6380505256887115,3,4.594995975494385
MSHHO_I3,9,0.35490823990807374,2.3021064137884197,1.7946145563921534,4,5.186517715454102
MSHHO_I3,10,0.3601227120478403,2.4899171169968892,1.9461878560218464,1,4.090829849243164
MSHHO_I3,11,0.016483288402312612,3.092447392965777,2.00313750840661,17,6.031981706619263
MSHHO_I3,12,0.3685124578038096,2.5086945605169593,2.0863136070208226,15,6.329736232757568
MSHHO_I3,13,0.2944436355751575,2.487711650372869,2.113901916544612,5,5.265547752380371
MSHHO_I3,14,0.4249758130170733,2.54047838045124,1.9654037828860627,1,4.277990818023682
MSHHO_I3,15,0.3843873717324996,2.5968822242732195,2.058631712987822,1,3.9389359951019287
MSHHO_I3,16,0.16949022290677307,2.9059527295697376,1.9194883648904584,36,6.7200610637664795
MSHHO_I3,17,0.24311726351624663,2.6242109270130447,2.20500225148596,1,3.646373987197876
MSHHO_I3,18,0.05232850502779829,2.6091787238242246,2.213431693210201,6,5.7638068199157715
MSHHO_I3,19,0.35960665557229654,2.094158114790682,1.759445511963872,24,6.427284002304077
MSHHO,0,0.2805981581907204,2.256794262999107,1.772883247225179,1,3.4464778900146484
MSHHO,1,0.373219096846674,2.2701540434046605,1.926206464249479,4,5.022478103637695
MSHHO,2,0.35776242118056356,2.569619982486849,1.7680045180646748,1,4.051861047744751
MSHHO,3,0.3577080040954793,2.059484768134271,1.737025752482453,1,3.9607207775115967
MSHHO,4,0.43068683922686546,2.183230119250214,1.7214559463150976,33,6.843461751937866
MSHHO,5,0.2270172329768536,2.798685027622137,2.164774439993257,5,6.101793050765991
MSHHO,6,0.2497818539012332,2.7471801751316076,2.070571000659169,3,4.549944162368774
MSHHO,7,0.3485607616959182,2.1112037428362047,1.874372063505977,1,3.688654899597168
MSHHO,8,0.39208135545135714,2.067553153081054,1.7111939976874635,3,5.445777893066406
MSHHO,9,0.1200042580011439,2.6887779188276424,2.2037823702246677,10,5.79867696762085
MSHHO,10,0.1998280233988471,2.7843781167188957,2.209762311735885,5,5.18864893913269
MSHHO,11,0.07309084596419835,3.002133731084087,2.004699715247903,26,6.304863214492798
MSHHO,12,0.36063917096525167,2.524285119472358,2.1142252137656206,18,6.3561179637908936
MSHHO,13,0.4036723064232839,2.2870553350488803,1.8759722543701334,1,4.552830934524536
MSHHO,14,0.3984267292381224,2.598464050455956,2.022237350512241,1,4.2354817390441895
MSHHO,15,0.3886769039328877,2.5878189904262388,1.944043473731234,1,4.444080114364624
MSHHO,16,0.1982605150983039,2.85517549169387,2.0541538978336837,5,5.530647039413452
MSHHO,17,0.25489897628296,2.6037064548316287,2.176617998519469,1,3.551527976989746
MSHHO,18,0.10214767168339067,2.539670510928773,2.09892090650289,1,4.150158166885376
MSHHO,19,0.2552360965383348,2.258371445071737,1.79875907652245,5,6.1244957447052
