b15,b17,b19,b22,b24,b26,b27,b35,b48,b49,b53,b55,b56,b58,b59,b60,b61,b64,b66,b68,b74,b75,b80,b81,b84,b88,b90,b91,b96,b102,b103,b107,b109,b111,b112,b116,b125,b131,b132,b137,b138,b142,b144,b146,b152,b155,b156,b158,b160,b161,b163,TS
511.7958538,550.4722266,581.3321728,620.0210476,660.055072,712.8659598,786.632062,959.8855832,1108.928786,1125.047634,1176.889065,1303.295142,1348.050483,1416.561798,1432.833043,1445.611647,1459.261276,1541.581738,1580.463364,1647.515904,1734.833043,1739.707074,1867.909005,1884.249881,2006.778604,2031.541541,2072.221238,2095.844279,2221.540117,2300.556892,2311.043994,2356.079443,2328.437253,2352.423168,2400.501503,2514.61592,2777.927995,2981.065675,2976.484887,2954.169647,2914.752651,2983.642981,2967.379016,2870.006172,2407.307327,2515.863428,2477.060294,2404.476658,2491.67843,2483.979427,2270.124387,2.175
591.1867798,637.7288732,682.2351152,726.896927,758.1677337,841.9796735,926.3769206,1091.81354,1212.180218,1228.073944,1287.963988,1397.479033,1434.422215,1491.184379,1507.958387,1522.196863,1545.464629,1622.081146,1663.87388,1696.8129,1808.108035,1829.202785,1902.37372,1921.273207,1984.940301,2052.039373,2063.546895,2074.49888,2159.783131,2188.055218,2204.888444,2177.31386,2117.577145,2156.746799,2195.885243,2327.899968,2547.006562,2688.558099,2669.78137,2543.353393,2526.690621,2636.840589,2629.648207,2464.600672,1921.560339,1984.90653,1976.101633,1957.15493,1979.252081,1944.815621,1846.057298,5.2
554.4427916,590.1050799,620.2289919,682.4269663,715.5967716,779.4302896,852.997468,1011.568919,1164.151132,1181.084032,1276.730179,1386.169331,1415.25542,1451.523659,1472.160627,1493.208894,1514.614812,1573.516537,1615.705966,1687.047318,1804.35148,1829.978478,1932.211426,1954.489634,2020.106662,2073.237379,2095.084824,2108.078968,2227.793955,2309.889856,2334.491059,2361.648995,2327.58063,2346.514164,2386.451654,2539.802342,2742.090679,2979.916917,2935.962178,2849.431556,2814.352746,2936.384238,2937.205412,2862.215699,2339.014559,2568.355436,2489.782877,2334.263491,2492.348473,2490.405444,2291.948568,3.275
505.9767857,544.7061688,579.2058442,623.3728896,656.9829545,707.5295455,780.2678571,958.7594156,1113.026948,1125.866071,1193.943019,1328.224838,1366.305195,1423.273701,1443.004058,1462.438312,1483.78961,1579.077597,1615.578409,1685.124351,1816.795455,1820.636688,1924.19026,1940.226461,2037.037338,2095.203084,2158.234091,2190.679383,2261.152597,2326.33961,2322.943669,2358.609253,2331.762662,2361.643019,2404.263474,2500.414123,2793.760877,2993.239935,2977.493506,2894.239448,2854.598864,2941.374513,2928.416721,2819.192532,2231.159091,2503.607305,2478.27711,2423.913312,2422.908929,2383.519318,2257.257792,1.675
827.403009,875.9322983,931.3775608,1021.988316,1084.743598,1181.651408,1267.878681,1480.81146,1785.517446,1802.198143,1902.737356,2032.37404,2082.791133,2162.571383,2180.010083,2197.398688,2224.515685,2330.944782,2377.090589,2407.584987,2508.568822,2532.238796,2630.867958,2645.471031,2674.841069,2690.927657,2726.601312,2754.991357,2828.585627,2836.534731,2847.542734,2847.036972,2748.935659,2776.165333,2819.262324,2903.441421,3122.955826,3263.8742,3219.909571,2998.578425,2989.28057,3048.914693,3032.734955,2866.271287,2315.828585,2449.24856,2388.097471,2344.121639,2494.231274,2421.319942,2273.244878,11.2
473.5049616,513.3300256,539.0240077,589.6722151,622.5001601,677.321863,749.0083227,891.8543534,1042.508483,1051.15717,1132.321383,1281.832106,1319.31242,1360.786012,1374.947983,1390.370519,1403.474232,1480.786972,1524.776569,1563.24872,1676.357714,1694.197503,1806.957266,1840.977753,1914.053137,1949.90477,1995.24952,2020.477433,2126.300736,2201.080506,2211.878521,2240.641485,2203.959187,2222.8113,2268.589789,2389.482875,2600.074264,2717.140205,2720.240077,2682.754161,2654.74984,2754.31322,2758.815781,2656.976152,2288.080186,2258.457106,2256.060019,2245.331466,2266.822343,2227.123399,2015.008163,2.125
449.1090909,487.1056818,521.6003247,555.8345779,588.4886364,644.3042208,714.3305195,867.9741883,1002.860552,1012.368182,1080.496916,1188.92289,1222.891721,1276.120617,1290.60276,1305.186039,1318.43961,1408.921104,1447.303896,1481.683929,1626.692208,1630.769156,1724.740422,1743.358766,1825.496266,1889.76737,1935.804708,1965.588799,2041.849513,2101.91737,2118.217045,2153.75763,2125.108442,2138.176623,2164.299675,2282.11039,2530.266558,2662.839935,2673.984578,2579.501786,2542.688799,2656.01461,2671.434578,2544.832143,2006.527435,2044.153734,2062.310877,2078.528896,2061.610714,2013.571104,1823.953409,1.9
443.981274,472.7419974,487.8457106,531.9220551,564.6978233,621.8838028,685.4591869,819.6770166,960.2663252,973.2978553,1041.785371,1169.332746,1204.118118,1251.101472,1268.783451,1284.609955,1301.756562,1381.103393,1421.350192,1467.761364,1597.572823,1611.552017,1728.915493,1763.260243,1845.262644,1909.948143,1954.024648,1979.940301,2079.620679,2160.003841,2172.109955,2210.464149,2180.022087,2209.965909,2254.008163,2388.065141,2645.361716,2793.326344,2793.432138,2727.664533,2699.429097,2820.759443,2821.304097,2706.72007,2252.646767,2316.0,2300.236396,2266.783451,2359.996159,2355.03249,2246.21895,1.7
1311.322565,1375.083604,1423.606981,1486.731656,1559.341071,1631.161364,1739.406331,2046.909091,2277.984578,2308.123539,2392.911039,2496.319156,2548.923539,2661.041071,2688.086851,2711.132468,2734.440584,2824.381331,2838.226461,2892.671753,3019.578896,3018.508279,3032.888149,3032.491558,3029.198539,3089.014935,3094.743669,3099.330195,3126.989448,3135.959578,3136.890584,3078.756331,2998.586039,2981.808279,3009.770292,3111.704708,3215.501786,3369.320617,3306.187338,3094.38539,3024.358766,3169.254058,3069.710714,2872.048701,2319.476786,2368.489448,2337.820455,2286.278896,2229.250325,2174.693344,1992.778571,6.45
510.5680218,537.9321383,573.2203905,624.6192382,657.8533931,704.9860755,780.6983035,972.4580666,1131.014085,1148.788572,1205.404449,1341.441101,1386.965589,1464.71719,1470.106434,1475.028649,1484.341229,1555.150448,1608.401569,1682.474872,1815.385083,1827.706306,1936.682458,1943.410531,2044.916453,2113.464629,2153.011844,2174.067222,2296.215109,2356.253841,2381.151889,2398.321543,2379.431018,2434.509283,2489.525128,2592.076024,2866.431978,3120.098111,3106.011684,2932.556498,2914.223111,3095.180058,3043.764565,2899.372119,2351.990717,2610.565301,2564.304097,2487.828745,2645.235595,2614.820102,2487.637484,1.325
