b66,b87,b91,b94,b102,b103,b114,b124,b131,b142,b145,b150,b152,TS
2142.924719,2481.491011,2515.578812,2581.761156,2682.266453,2698.673034,2707.922472,2954.881059,3079.873515,3038.391974,3007.79374,2556.278973,2528.175923,6.45
2770.663238,3036.660389,2991.097167,2960.104289,2973.428707,2975.613388,2863.30527,3021.862795,3230.420003,3092.013451,2927.511632,2484.947935,2233.330907,6.05
1857.069622,2181.114757,2218.108835,2261.766805,2260.975512,2267.435819,2271.067542,2463.993118,2594.568662,2493.832907,2415.521447,1916.363476,1645.372919,4.525
1727.141795,2123.795379,2142.777022,2249.568444,2325.211426,2349.052856,2429.735085,2657.932584,2851.560057,2764.237221,2710.459566,2376.878145,2166.019307,3.475
1615.705966,2063.566704,2108.078968,2177.615287,2309.889856,2334.491059,2464.567337,2727.469378,2979.916917,2936.384238,2930.38946,2587.607375,2339.014559,3.275
2377.090589,2684.28009,2754.991357,2839.909411,2836.534731,2847.542734,2864.00128,3087.552017,3263.8742,3048.914693,2994.204545,2593.979834,2315.828585,11.2
1769.558316,2217.598512,2213.771483,2322.199715,2383.371261,2401.667985,2547.216332,2770.049058,3027.160468,2941.830511,2841.745213,2451.268713,2094.572242,1.625
1662.158451,2110.883483,2150.268246,2234.645006,2331.511844,2363.982714,2455.572183,2758.973431,2941.101152,2870.34507,2834.519526,2457.677177,2289.252081,2.25
2838.226461,3071.440097,3099.330195,3093.385714,3135.959578,3136.890584,3062.284578,3219.867208,3369.320617,3169.254058,2985.053247,2484.272565,2319.476786,6.45
1947.335147,2342.800896,2411.483515,2489.398047,2587.684699,2597.691421,2688.877561,3000.205506,3093.067542,3047.261364,3088.584507,2676.984795,2614.326344,2.125
3096.337708,3291.108835,3319.212708,3345.426376,3321.390205,3296.810339,3286.147407,3352.215749,3475.649328,3263.642606,3188.53105,2653.692382,2446.772407,7.575
1867.498864,2322.848052,2343.514123,2443.034416,2563.555682,2574.527597,2639.349026,2896.156006,3126.124513,3058.259091,2960.238961,2513.106331,2296.581006,3.0
1621.65557,2109.31242,2130.855154,2245.275288,2335.31402,2369.93758,2513.728553,2810.578585,3067.113796,3050.754641,2988.864757,2763.255602,2446.497439,4.825
1612.132932,2082.495648,2180.045102,2308.496756,2389.586327,2415.022788,2515.740624,2841.430764,3001.379332,2994.369837,2972.965184,2583.372211,2461.030068,4.35
1703.398323,2247.233898,2241.146542,2329.120589,2465.810888,2497.391676,2611.444691,2831.032917,3155.713088,3109.344833,2943.563539,2598.55167,2233.287545,2.15
2294.629846,2685.779237,2725.697737,2791.737775,2852.637759,2859.094002,2871.852034,3123.40671,3295.461782,3149.24007,3110.781295,2797.749486,2447.335813,8.125
1443.556018,1934.822503,1976.458547,2057.233035,2152.222631,2165.085627,2314.149488,2584.025928,2795.288412,2783.449584,2773.756402,2453.246639,2273.491997,1.475
2640.303617,2832.742157,2843.986076,2863.974552,2918.168534,2943.477113,2868.716389,3007.901569,3156.690141,2883.026248,2851.432939,2311.760243,1995.971191,8.375
1608.401569,2113.712868,2174.067222,2263.557458,2356.253841,2381.151889,2562.518246,2854.118438,3120.098111,3095.180058,3019.330186,2711.71927,2351.990717,1.325
