b23,b26,b29,b30,b32,b33,b34,b37,b38,b53,b57,b58,b63,b65,b71,b76,b78,b79,b88,b92,b99,b103,b107,b111,b113,b131,b142,b143,b144,b149,b150,b152,b155,TS
592.328105,658.8444302,830.8599552,836.7488796,851.6387644,861.824904,875.199904,906.7349552,909.7487196,1101.056178,1304.552977,1331.904289,1443.225672,1495.419174,1599.15685,1696.216869,1739.403809,1756.9371,1942.616037,2014.574264,2158.440461,2207.729994,2186.65781,2175.828585,2259.242958,2683.608995,2682.435659,2693.964149,2704.616997,2340.800576,2318.774648,2136.442862,2228.302497,4.475
671.7113467,749.5717677,933.7776547,940.5945561,948.3168223,949.3082766,960.5921823,1003.287071,1013.689508,1188.143377,1376.1304,1398.732394,1504.962019,1538.708656,1656.762937,1752.075803,1801.480772,1823.523975,1978.936541,2041.831302,2161.206678,2204.685235,2232.0978,2227.34515,2314.948726,2832.862003,2790.136097,2805.683336,2791.403228,2463.541383,2429.069631,2245.592024,2383.436303,3.9
701.8017091,768.956797,982.1775597,987.9950942,1004.180567,1013.583795,1027.267289,1075.02532,1091.343251,1314.040354,1507.601677,1548.262542,1670.290078,1733.305586,1860.550245,1936.466688,2014.024371,2030.492325,2197.160468,2300.1812,2433.318405,2486.478398,2479.415256,2466.370312,2548.792372,3119.243076,3078.035923,3081.194968,3087.41937,2734.345466,2729.560373,2502.067416,2715.200032,2.175
1011.910429,1103.694572,1325.184365,1327.118531,1316.881627,1306.591233,1322.054914,1379.137838,1389.170913,1629.850609,1816.041146,1839.873239,1949.453395,1957.43029,2069.96376,2121.382339,2177.814686,2206.51448,2259.050166,2317.748536,2369.160943,2405.305586,2393.307011,2353.232315,2395.902358,2719.358443,2592.462415,2593.659598,2613.613072,2138.258269,2084.542807,1987.786833,2014.964868,4.95
990.2760883,1097.893886,1333.153009,1335.215429,1339.773848,1342.527849,1354.532971,1405.059059,1428.164213,1665.208867,1878.40493,1905.732554,2021.411812,2038.264725,2200.628521,2237.387004,2289.18662,2320.473271,2445.377081,2552.245198,2643.488956,2702.458707,2726.234315,2695.645006,2775.53249,3145.650928,3127.529449,3126.997439,3137.59523,2831.302497,2801.18598,2748.288572,2782.18806,9.0
1375.379775,1452.385393,1716.983788,1755.445746,1784.457303,1780.333387,1789.02183,1836.414125,1851.807544,2232.785714,2474.37512,2500.354414,2630.78427,2663.097753,2744.671268,2755.456661,2849.494061,2856.513965,2813.358587,2882.446388,2935.98122,2951.894703,2911.194222,2802.294382,2874.467897,3124.862279,2878.509952,2891.736437,2901.597592,2374.870947,2315.258266,2172.855377,2375.856982,5.775
572.9034091,644.3042208,816.6842532,819.3081169,830.2318182,838.2061688,851.1530844,895.1357143,904.0256494,1080.496916,1249.832468,1276.120617,1385.728409,1428.516721,1555.761039,1637.078571,1689.955195,1708.745779,1889.76737,1989.660552,2076.139123,2118.217045,2153.75763,2138.176623,2189.257305,2662.839935,2656.01461,2676.562013,2671.434578,2198.33263,2162.91461,2006.527435,2044.153734,1.9
705.1830986,794.9428617,971.6294814,975.7620038,1001.414693,1020.93662,1033.898047,1075.509283,1093.201024,1323.517606,1518.559059,1537.84219,1662.8113,1706.640365,1868.68758,1965.644046,1987.7508,2000.068982,2269.413572,2313.703425,2436.319302,2519.899008,2528.205026,2509.184379,2592.50112,3139.728393,3187.819782,3179.160851,3168.24936,2818.288412,2808.052337,2699.216869,2669.942061,1.675
721.6272407,795.4467029,1014.15749,1023.597151,1035.776729,1039.393246,1056.417254,1114.371639,1127.182778,1361.957426,1606.180858,1644.409891,1783.272727,1823.609795,2001.0,2095.022887,2178.739277,2207.048816,2406.970711,2557.303457,2677.602913,2750.132362,2795.872759,2813.419974,2890.085948,3464.883163,3406.113796,3400.472471,3386.838828,3038.618118,3038.557618,2821.197023,3048.004161,4.125
827.3357875,918.3237836,1135.584187,1149.483195,1165.886844,1173.447343,1190.060179,1221.914693,1224.84299,1470.888604,1647.145487,1673.613476,1763.699904,1825.412772,1941.838508,2054.348912,2084.099072,2111.078425,2264.792093,2300.791613,2358.297695,2422.622439,2444.478073,2414.809859,2486.056818,2952.756402,2861.420935,2852.390525,2841.822023,2421.073944,2427.585147,2007.412292,2245.018726,4.225
628.9767926,689.7143086,864.5040013,874.4580666,902.7223111,920.634443,935.4958387,969.0398528,975.0648207,1169.31338,1383.100672,1418.173976,1528.136684,1569.709827,1730.12516,1846.78233,1882.332266,1900.840269,2153.788572,2240.828265,2373.955346,2457.84267,2484.586748,2490.616997,2580.615717,3163.354033,3284.028809,3293.901569,3267.208227,3072.204545,3069.331306,3031.84299,3074.361716,1.65
879.246959,932.5745839,1143.28089,1159.515845,1167.126921,1163.617638,1178.918534,1215.334027,1219.215749,1405.757843,1567.795935,1589.396447,1705.070102,1713.646127,1834.53137,1880.486236,1960.385403,1957.020166,2018.685499,2097.71975,2148.419334,2162.557458,2143.768726,2084.977753,2143.331466,2560.091549,2528.058579,2498.544334,2469.836428,1945.778969,1886.221831,1830.118118,1830.473431,10.2
906.2791293,985.5518566,1202.447343,1218.090909,1249.229834,1264.829065,1286.611876,1320.298816,1309.108675,1584.34251,1809.850352,1838.497279,1991.110435,2041.985115,2152.319782,2288.28073,2333.059699,2346.864277,2529.414052,2604.505442,2748.597311,2798.367638,2803.107234,2780.721031,2880.072503,3450.987196,3330.169334,3323.706146,3295.684219,2987.31178,2971.181498,2744.923816,2900.826504,6.825
1104.38772,1235.053489,1487.614179,1490.008862,1497.886374,1503.813262,1514.692198,1557.98006,1576.393733,1899.288337,2094.188796,2128.839215,2247.06979,2281.185789,2383.181041,2452.546764,2487.31065,2512.702485,2569.736984,2608.571768,2685.495806,2693.94113,2690.756449,2613.889698,2684.487735,3020.322045,2886.727963,2890.28897,2858.7047,2435.732394,2399.347365,2226.413673,2302.037031,8.55
1020.640365,1150.50032,1382.902529,1370.491997,1387.548015,1410.296575,1423.917894,1468.212868,1491.614757,1744.840109,1984.946543,2010.46767,2115.238156,2136.169814,2276.238636,2330.705346,2331.190141,2342.352433,2467.741517,2474.808739,2523.488956,2565.423656,2519.690781,2433.767446,2483.511684,2849.559539,2630.476953,2604.193822,2564.057458,1982.184859,1918.597791,1660.572823,1811.03009,8.225
592.7398323,676.0449438,842.3487894,845.6751068,859.6896661,870.8455452,881.8409558,919.915493,938.3883526,1093.631113,1273.181358,1297.360342,1391.788099,1442.6069,1582.178984,1646.443108,1671.24181,1689.120114,1891.678747,1959.114417,2072.419845,2124.193385,2119.918183,2120.326159,2194.590125,2671.225194,2642.305428,2641.238171,2631.990347,2287.729704,2278.651211,2132.929103,2164.056971,2.3
631.8414306,685.3217281,875.2826397,886.3763254,903.2291502,910.4162051,922.7365089,963.3046368,976.2975154,1211.138313,1421.950942,1453.110777,1573.403228,1632.416205,1760.008546,1876.41035,1937.901408,1953.762146,2147.772432,2245.675898,2420.60595,2467.939231,2478.999842,2491.349581,2566.436303,3050.395949,3062.038297,3060.76626,3070.843804,2766.60959,2778.241336,2672.348315,2685.465105,2.175
686.618927,741.2965659,931.6811204,942.3927837,969.8683336,986.8746637,996.5570502,1029.975154,1050.996677,1225.258585,1385.205887,1411.719576,1541.335338,1588.790631,1731.989081,1793.614971,1841.739199,1845.257477,2031.527773,2093.465263,2196.234689,2250.163475,2223.037822,2223.53078,2279.932584,2855.005855,2799.094952,2799.786042,2790.491375,2352.337553,2321.674474,2092.337237,2196.270771,4.625
1010.698555,1105.657785,1324.406742,1333.817978,1353.054735,1362.513162,1375.853291,1411.83114,1421.155056,1692.107063,1884.958748,1922.126645,2037.208186,2117.244783,2204.182183,2311.185393,2355.17496,2372.857624,2477.511236,2535.749278,2662.84077,2698.673034,2643.42504,2613.886838,2676.742857,3079.873515,3038.391974,3029.428892,3021.153933,2623.588122,2556.278973,2528.175923,2506.760995,6.45
