variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,selected_features,elapsed_sec
MSHHO_I1,17,0.5899408614970134,1.8804299638650912,1.4049819829694625,0.35083631332152443,2.532059790168654,1.9459424406191184,5,b17;b91;b111;b120;b148,43.47638773918152
MSHHO_I1,18,0.5010237795351653,2.0743108545315274,1.698730049580003,0.4448249274655939,2.3415952398416953,1.714266696608298,1,b109,38.42560625076294
MSHHO_I1,19,0.7311935265448081,1.5224876450806843,1.1921282549075798,0.34758715007507823,2.538388553635366,1.8018290149219365,12,b18;b22;b59;b62;b68;b77;b84;b105;b110;b113;b117;b149,46.5176100730896
MSHHO_I1,20,0.5939131071348115,1.8712999305184859,1.4775227732176448,0.32638496349357216,2.579305202125633,1.6405721107101094,3,b27;b59;b61,38.71625590324402
MSHHO_I1,21,0.5489729466113513,1.972128510443448,1.5918446867139016,0.3474052454767872,2.538742403478295,1.6340034289435914,1,b26,32.216472148895264
MSHHO_I1,22,0.7112552914602888,1.5779416242498754,1.2262306845640776,0.3267682866866768,2.5785712159841023,1.8290874311862841,9,b37;b46;b62;b68;b85;b107;b109;b114;b118,44.80685901641846
MSHHO_I1,23,0.6867891608150551,1.6434341490263336,1.3525673927533637,0.17495127691401213,2.854543370284152,1.8537890110987196,8,b48;b61;b68;b86;b90;b96;b108;b146,46.165403842926025
MSHHO_I1,24,0.5930025451255092,1.8733967484013745,1.417765803456863,0.1349034247924854,2.9230022114316974,2.0708582932441635,4,b18;b68;b73;b139,43.9729962348938
MSHHO_I1,25,0.7142051344771387,1.5698607326852316,1.2402098871227052,0.2520434946046708,2.717909674210349,1.891491775841396,9,b15;b17;b33;b63;b69;b71;b93;b106;b123,51.75868010520935
MSHHO_I1,26,0.69403574437588,1.6243112858074553,1.257947168448793,0.35472115972493057,2.524472008866049,1.9426087471385869,11,b15;b58;b67;b82;b91;b102;b108;b112;b129;b148;b150,44.845200061798096
MSHHO_I1,27,0.591087824485983,1.8777982777869864,1.5700491343504157,0.3445085298643572,2.544370606952611,1.784887818289253,3,b68;b78;b109,40.92657113075256
MSHHO_I1,28,0.7071333326066257,1.5891646213402124,1.2666925477242827,0.13243478551177323,2.9271697794448697,2.189036139550654,14,b29;b45;b49;b62;b68;b83;b89;b107;b109;b118;b119;b123;b126;b144,48.69787788391113
MSHHO_I1,29,0.707297147363025,1.5887201101374175,1.295073940608245,0.23198387358867356,2.754114661444548,1.851478009889139,12,b29;b43;b74;b91;b94;b99;b107;b110;b128;b138;b148;b158,51.42474389076233
MSHHO_I1,30,0.7208380223842614,1.5515366846290626,1.2099860714182096,0.3024897929427741,2.624654431416763,1.84950982513049,13,b33;b43;b45;b58;b62;b68;b96;b97;b99;b100;b104;b108;b124,48.023200035095215
MSHHO_I1,31,0.6178913539370317,1.8152119741736075,1.4387971680873888,0.15630415860364555,2.8866212328873924,2.166229751652951,5,b63;b67;b81;b85;b110,47.49441909790039
MSHHO_I1,32,0.7497507191488623,1.4689950570372625,1.2197273901626704,0.32412277058427286,2.5836325961309337,1.72054145824791,12,b15;b29;b32;b47;b62;b69;b84;b94;b107;b109;b120;b145,51.521464109420776
MSHHO_I1,33,0.6783823001541596,1.6653437297414142,1.3468488857617518,0.3706964369524951,2.4930267754621642,1.8475621303020016,6,b33;b63;b69;b91;b109;b116,45.61269021034241
MSHHO_I1,34,0.5780826667453621,1.9074255650200824,1.5052522487850029,0.463580099296827,2.301703023927965,1.5957295109259193,3,b62;b109;b117,38.860623836517334
MSHHO_I1,35,0.5632597549682407,1.9406424281823913,1.5322901429640203,0.4652408347716612,2.298137269710168,1.7063452626802704,4,b64;b83;b94;b107,41.28986310958862
MSHHO_I1,36,0.6014575295867424,1.8538356076963307,1.519989868354947,0.33655163639104235,2.5597668542049705,1.8302000051592977,5,b68;b77;b101;b106;b108,44.15375089645386
MSHHO_I1,37,0.5181925180796119,2.0383121127870267,1.573170131319196,0.3928487776925961,2.448754710391752,1.7396163259964466,3,b19;b62;b118,39.37468481063843
MSHHO_I1,38,0.5744529535194633,1.9156126915201395,1.5350655690058888,0.38132737741210043,2.4718795046942383,1.8441911244659497,4,b62;b78;b110;b120,48.5523579120636
MSHHO_I1,39,0.6897673195685303,1.6356022073736831,1.322720157825227,0.4024176593667206,2.429381528586417,1.7152197152351674,10,b56;b57;b63;b68;b80;b95;b102;b106;b110;b148,51.46412801742554
MSHHO_I2,0,0.5571636554285726,1.9541394125249478,1.496105672663906,0.3308138628084012,2.5708119817788835,1.9693128864362284,4,b18;b83;b88;b113,44.29873776435852
