b21,b22,b23,b24,b30,b31,b32,b35,b48,b57,b58,b59,b91,b94,b98,b99,b103,b110,b117,b121,b128,b143,b149,TS
569.412407,580.9139104,592.7398323,613.1330907,845.6751068,848.1253363,859.6896661,891.7474284,1040.454819,1273.181358,1297.360342,1319.465263,1937.880677,1997.254787,2056.878462,2072.419845,2124.193385,2091.41304,2324.127552,2439.945561,2555.020573,2641.238171,2287.729704,2.3
592.614496,612.300997,631.8414306,642.4584586,886.3763254,896.3600253,903.2291502,936.8012344,1144.806457,1421.950942,1453.110777,1483.720525,2210.718785,2317.814844,2416.485995,2420.60595,2467.939231,2460.20652,2685.79617,2839.28264,2954.019623,3060.76626,2766.60959,2.175
651.5192277,668.7819275,686.618927,695.8447539,942.3927837,952.4296566,969.8683336,1002.64678,1174.831461,1385.205887,1411.719576,1443.900617,2054.736509,2162.76626,2193.53347,2196.234689,2250.163475,2196.142902,2430.613388,2524.244659,2702.007913,2799.786042,2352.337553,4.625
953.4420546,982.8107544,1010.698555,1030.337881,1333.817978,1343.793419,1353.054735,1389.628732,1610.67817,1884.958748,1922.126645,1956.984751,2515.578812,2581.761156,2671.47496,2662.84077,2698.673034,2582.00305,2816.096148,2934.383628,2991.689085,3029.428892,2623.588122,6.45
1540.595664,1583.081975,1625.895395,1662.587435,2007.313974,2012.67938,2009.817218,2033.927204,2333.775439,2545.172496,2588.687134,2641.267131,2991.097167,2960.104289,2967.846969,2965.516854,2975.613388,2792.531571,2929.85868,2970.454344,3087.94746,3038.39579,2510.050957,6.05
749.6414853,776.4295775,805.3569142,831.693662,1140.860275,1139.797855,1149.68806,1200.509283,1402.439341,1670.816741,1690.632522,1712.264085,2218.108835,2261.766805,2254.889405,2253.770487,2267.435819,2203.654449,2338.836588,2437.742958,2538.567382,2488.628521,1980.600672,4.525
675.8518753,704.2263016,733.4594081,754.837949,1031.65485,1038.162367,1047.487261,1084.337395,1278.31065,1521.887957,1556.745846,1578.012818,2142.777022,2249.568444,2281.727014,2292.180567,2349.052856,2307.336762,2500.762462,2589.280741,2711.379649,2765.381389,2409.513372,3.475
669.2962494,682.4269663,696.013768,715.5967716,960.74094,962.0705808,975.040671,1011.568919,1164.151132,1433.182624,1451.523659,1472.160627,2108.078968,2177.615287,2249.316189,2259.483463,2334.491059,2310.432505,2563.787308,2669.356227,2807.049691,2940.510049,2629.113784,3.275
998.759443,1021.988316,1046.93886,1084.743598,1417.262964,1433.057298,1445.888284,1480.81146,1785.517446,2127.823303,2162.571383,2180.010083,2754.991357,2839.909411,2880.144366,2868.065941,2847.542734,2736.553777,2939.823143,3044.704225,3091.56386,3044.144686,2624.692061,11.2
750.2497231,775.8094635,800.560057,810.6523184,1097.100649,1109.806298,1110.206995,1140.148125,1295.806298,1625.788732,1665.316031,1665.464156,2213.771483,2322.199715,2323.877671,2334.243709,2401.667985,2348.808831,2593.908372,2671.672733,2779.329483,2912.018516,2457.824814,1.625
676.3629962,683.5961908,689.840589,705.3583547,962.3903649,966.7275928,988.0019206,1021.182138,1163.162932,1437.691101,1464.430218,1486.616037,2150.268246,2234.645006,2302.663892,2302.119238,2363.982714,2327.589949,2586.308899,2709.96847,2828.15749,2866.167093,2514.825544,2.25
1443.418019,1486.731656,1534.139286,1559.341071,1928.768669,1944.681981,1957.525487,2046.909091,2277.984578,2605.212662,2661.041071,2688.086851,3099.330195,3093.385714,3121.945617,3123.598377,3136.890584,2966.57711,3140.05,3176.169643,3201.127922,3144.939773,2544.241396,6.45
743.9460627,774.3228233,806.2664853,821.2485595,1102.901729,1112.216229,1122.050736,1157.340109,1404.884443,1691.382202,1730.68806,1758.074104,2411.483515,2489.398047,2575.96959,2575.960147,2597.691421,2567.070423,2788.191261,2923.918534,3026.524808,3052.972471,2706.987996,2.125
1778.802017,1832.042254,1886.713828,1940.50112,2262.126921,2238.12356,2253.37548,2314.609475,2582.955666,2942.87372,2991.462068,3004.784091,3319.212708,3345.426376,3285.21751,3308.940301,3296.810339,3223.93742,3327.315461,3356.547855,3407.125,3242.358195,2728.425576,7.575
707.5332792,736.6128247,765.1907468,792.0461039,1081.921266,1083.117045,1105.220942,1157.514935,1361.153409,1655.339448,1694.326136,1708.833766,2343.514123,2443.034416,2525.994481,2539.776299,2574.527597,2497.354545,2738.480844,2888.819481,2938.803734,3036.261364,2565.830357,3.0
639.9654289,658.8101793,678.1856594,696.5771447,960.8122599,967.5305698,973.2021447,996.5867478,1151.852913,1429.048496,1461.018406,1476.383643,2130.855154,2245.275288,2281.450864,2292.427977,2369.93758,2369.725832,2609.630122,2721.107394,2881.52993,3051.790333,2772.215269,4.825
584.344833,602.5266656,622.4200032,641.9547397,892.096376,894.4975471,900.9531571,936.8363665,1111.7536,1382.308277,1396.290078,1422.141795,2180.045102,2308.496756,2351.844912,2360.51179,2415.022788,2406.976895,2638.350055,2763.098275,2896.468587,3005.991613,2620.804241,4.35
689.5057762,705.8732394,722.303529,743.9414464,1009.970565,1020.592974,1027.259535,1042.541383,1240.360342,1503.25906,1538.752492,1570.873081,2241.146542,2329.120589,2354.742523,2371.395157,2497.391676,2420.238962,2677.580313,2775.097959,2920.321728,3055.080551,2618.667827,2.15
1047.689508,1074.011711,1100.085298,1124.02263,1449.362716,1462.681595,1475.664979,1504.284697,1772.161734,2050.354961,2082.885108,2118.273303,2725.697737,2791.737775,2828.546289,2840.067574,2859.094002,2781.590125,2982.612913,3102.736984,3176.564646,3147.089413,2797.003323,8.125
565.8185019,578.6760563,591.9710307,609.990557,848.3353073,846.650128,847.762484,869.2893726,996.8484315,1266.572663,1281.707586,1300.237996,1976.458547,2057.233035,2107.196383,2120.570262,2165.085627,2189.0008,2397.517286,2521.036332,2680.681178,2787.428297,2473.060499,1.475
1250.320743,1280.168534,1309.327785,1341.986236,1720.854033,1723.733195,1730.528809,1778.769526,2060.178457,2397.579225,2443.201825,2475.53089,2843.986076,2863.974552,2930.658291,2911.462708,2943.477113,2732.713188,2932.458227,3006.618118,3002.916933,2875.523367,2370.871319,8.375
600.9090909,624.6192382,648.6016325,657.8533931,923.3927657,939.0774648,939.8725992,972.4580666,1131.014085,1429.590429,1464.71719,1470.106434,2174.067222,2263.557458,2283.338508,2298.760243,2381.151889,2380.357554,2628.59347,2722.669174,2876.737836,3070.915973,2705.108035,1.325
