b110,b91,b104,b126,b53,b160,b142,b152,b153,b124,b145,b131,b140,b14,b138,TS
2383.733195,2291.016485,2435.666293,2755.223431,1470.888604,2339.451985,2861.420935,2007.412292,2090.825384,2714.580986,2787.40717,2952.756402,2820.833547,657.7983355,2769.048335,4.225
2460.111876,2216.310179,2468.384923,2940.003841,1169.31338,3027.960627,3284.028809,3031.84299,3007.620038,2964.334027,3237.829385,3163.354033,3195.576665,488.8085787,3115.763924,1.65
2056.213508,2072.337548,2161.305058,2455.783771,1405.757843,1774.997279,2528.058579,1830.118118,1834.169174,2402.328905,2439.741677,2560.091549,2454.525608,725.1309219,2399.377401,10.2
2738.023367,2578.684699,2812.284251,3185.53281,1584.34251,2815.34299,3330.169334,2744.923816,2684.847791,3208.444462,3259.889725,3450.987196,3252.898848,704.3689181,3224.237036,6.825
2590.231207,2587.311758,2700.913752,2898.779079,1899.288337,2242.776547,2886.727963,2226.413673,2163.89492,2880.197183,2820.285013,3020.322045,2789.792214,853.0788099,2734.554202,8.55
2409.735435,2438.366197,2549.758163,2716.462548,1744.840109,1737.167734,2630.476953,1660.572823,1641.849872,2683.423335,2522.347631,2849.559539,2572.909091,795.9478233,2492.739437,8.225
2091.41304,1937.880677,2127.305903,2495.186422,1093.631113,2075.916284,2642.305428,2132.929103,2078.825764,2460.247191,2611.754708,2671.225194,2624.365564,465.0978003,2590.643614,2.3
2460.20652,2210.718785,2483.020731,2912.506093,1211.138313,2659.385504,3062.038297,2672.348315,2617.193069,2921.329957,3077.705017,3050.395949,3094.950942,483.5586327,3008.707074,2.175
2196.142902,2054.736509,2241.083399,2666.622567,1225.258585,2222.111094,2799.094952,2092.337237,2036.636335,2605.120747,2774.225352,2855.005855,2747.10777,502.5089413,2660.422693,4.625
2582.00305,2515.578812,2694.245425,2947.527769,1692.107063,2496.851204,3038.391974,2528.175923,2510.764205,2954.881059,3007.79374,3079.873515,3131.876886,779.5577849,3062.135795,6.45
2792.531571,2991.097167,2941.89856,3064.705966,2357.403703,2184.802026,3092.013451,2233.330907,2221.900142,3021.862795,2927.511632,3230.420003,2989.255737,1358.619402,2950.923406,6.05
2203.654449,2218.108835,2260.74904,2529.200384,1500.496639,1623.538252,2493.832907,1645.372919,1559.536012,2463.993118,2415.521447,2594.568662,2429.274488,609.128041,2363.564821,4.525
2307.336762,2142.777022,2357.998576,2695.151606,1353.373002,2215.902516,2764.237221,2166.019307,2086.221871,2657.932584,2710.459566,2851.560057,2675.6232,513.9181833,2617.433455,3.475
2310.432505,2108.078968,2345.270454,2758.72464,1276.730179,2492.348473,2936.384238,2339.014559,2297.808672,2727.469378,2930.38946,2979.916917,2887.948568,527.193385,2814.352746,3.275
2736.553777,2754.991357,2862.748079,3115.560819,1902.737356,2494.231274,3048.914693,2315.828585,2353.745679,3087.552017,2994.204545,3263.8742,3043.208707,801.6600512,2989.28057,11.2
2348.808831,2213.771483,2423.93021,2772.711505,1385.881152,2413.602785,2941.830511,2094.572242,2115.949517,2770.049058,2841.745213,3027.160468,2850.73825,642.1425859,2789.407659,1.625
2327.589949,2150.268246,2367.479353,2796.153809,1240.59507,2347.494558,2870.34507,2289.252081,2309.262964,2758.973431,2834.519526,2941.101152,2856.786012,519.5947503,2767.980794,2.25
2966.57711,3099.330195,3129.277597,3208.89789,2392.911039,2229.250325,3169.254058,2319.476786,2280.180032,3219.867208,2985.053247,3369.320617,3087.1125,1272.621591,3024.358766,6.45
2567.070423,2411.483515,2610.364117,2994.899968,1490.354033,2528.983515,3047.261364,2614.326344,2609.481114,3000.205506,3088.584507,3093.067542,3093.785691,626.6165173,3048.838988,2.125
3223.93742,3319.212708,3324.06322,3413.351152,2715.202785,2532.216229,3263.642606,2446.772407,2449.471991,3352.215749,3188.53105,3475.649328,3291.521767,1636.894206,3265.369398,7.575
2497.354545,2343.514123,2581.487987,2914.494156,1433.28539,2470.259091,3058.259091,2296.581006,2277.098377,2896.156006,2960.238961,3126.124513,2966.864448,542.6381494,2935.3125,3.0
2369.725832,2130.855154,2385.943502,2864.973431,1229.768566,2626.715429,3050.754641,2446.497439,2425.391325,2810.578585,2988.864757,3067.113796,2938.290173,509.1691741,2879.366677,4.825
2406.976895,2180.045102,2414.207311,2906.336129,1197.423326,2546.681437,2994.369837,2461.030068,2409.344675,2841.430764,2972.965184,3001.379332,2919.610065,483.9329008,2862.081817,4.35
