variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
+SCI+SDGE,2,42,42,0.4348553741267025,2.2075661008252117,0.3101879046728633,2.6101306719627617,3,"b64,b106,b38",6.043003082275391,success,
+SCI+SDGE,3,42,42,0.525834140313273,2.0220833631660877,0.34994842675734517,2.5337907970835536,3,"b62,b21,b22",6.28835391998291,success,
+SCI+SDGE,4,42,42,0.5171806611214838,2.040451347480763,0.3260053997240636,2.5800317839858398,3,"b46,b24,b31",6.10265588760376,success,
+SCI+SDGE,5,42,42,0.47730550678126993,2.123038538282187,0.3544749455335706,2.524953584826486,3,"b53,b24,b54",5.963093996047974,success,
+SCI+SDGE,6,42,42,0.4351166973877282,2.207055651773942,0.33034519288048614,2.5717120687011255,3,"b77,b24,b52",5.886651992797852,success,
+SCI+SDGE,7,42,42,0.522522897088405,2.029131488808181,0.3702614261160708,2.4938882883910063,16,"b49,b77,b54,b43,b70,b96,b103,b105,b99,b15,b23,b52,b55,b31,b34,b38",6.207895040512085,success,
+SCI+SDGE,8,42,42,0.4172446086492372,2.2416977991561677,0.31782742411624565,2.595637116261922,3,"b84,b18,b25",6.167259931564331,success,
+SCI+SDGE,9,42,42,0.5046395930600074,2.0667814792897823,0.31380141151116736,2.6032852503439217,3,"b17,b40,b39",6.13383412361145,success,
+SCI+SDGE,10,42,42,0.4387119543043695,2.2000209261329102,0.31882351874126813,2.5937413755176055,3,"b43,b104,b41",6.3099870681762695,success,
+SCI+SDGE,11,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",6.240920066833496,success,
+SCI+SDGE,12,42,42,0.44448580605853594,2.18867609960587,0.3219504599544176,2.587781241661249,17,"b49,b53,b73,b42,b72,b69,b65,b83,b111,b94,b36,b31,b40,b48,b38,b43,b45",5.94005823135376,success,
+SCI+SDGE,13,42,42,0.4383933631579513,2.2006452114375743,0.33277244478013335,2.567047083379964,3,"b64,b25,b54",6.387924909591675,success,
+SCI+SDGE,14,42,42,0.4434545673368142,2.1907066517153337,0.31419316484934756,2.602542031613833,3,"b44,b100,b39",6.162826061248779,success,
+SCI+SDGE,15,42,42,0.48680377229566996,2.1036604550894547,0.43746363863714155,2.357068193177829,3,"b111,b103,b37",6.175123929977417,success,
+SCI+SDGE,16,42,42,0.577656413112828,1.9083888364534463,0.32894069006801707,2.574407550672172,3,"b21,b23,b44",6.457576036453247,success,
+SCI+SDGE,17,42,42,0.4192327223611131,2.237870672174004,0.3027848655937746,2.624099209674312,3,"b78,b18,b107",6.165826082229614,success,
+SCI+SDGE,18,42,42,0.43790945233819834,2.2015931050875013,0.32250052616323255,2.586731362749164,3,"b49,b103,b29",6.125366926193237,success,
+SCI+SDGE,19,42,42,0.5189533967789649,2.0367020080079237,0.325197580585715,2.5815774750932516,3,"b44,b24,b37",6.573232889175415,success,
+SCI+SDGE,20,42,42,0.4297060515084097,2.217600429314048,0.312882426557897,2.6050278796331097,4,"b56,b95,b104,b34",5.8968119621276855,success,
+SCI+SDGE,21,42,42,0.5600527100811263,1.9477546004399242,0.33671400790107076,2.5594535979926296,3,"b47,b21,b23",6.129474878311157,success,
+SCI+SDGE,22,42,42,0.4767414684772837,2.1241837121821123,0.4095327926126847,2.4148754656374054,3,"b17,b18,b26",6.319536924362183,success,
+SCI+SDGE,23,42,42,0.4381620268569175,2.2010984082791576,0.3089525301200443,2.612466849200048,3,"b63,b107,b45",6.42047381401062,success,
+SCI+SDGE,24,42,42,0.43985063778236655,2.1977882050499247,0.30855161550379195,2.6132245571173023,3,"b45,b107,b46",6.433455228805542,success,
+SCI+SDGE,25,42,42,0.435022179226199,2.207240290013526,0.32017756817626564,2.5911621605846005,4,"b49,b96,b99,b53",6.299978971481323,success,
+SCI+SDGE,26,42,42,0.4376680357537811,2.202065843894931,0.33086650174678534,2.570710868301414,3,"b62,b26,b47",6.11107611656189,success,
+SCI+SDGE,27,42,42,0.5062896807392168,2.063336295333195,0.32588000459193633,2.5802717772884693,3,"b81,b21,b22",6.324245929718018,success,
+SCI+SDGE,28,42,42,0.42838729235517525,2.2201629605902458,0.31355252966342606,2.6037573088092882,4,"b62,b96,b104,b55",6.164628028869629,success,
+SCI+SDGE,29,42,42,0.43226564174800153,2.2126183216863815,0.3168486568815624,2.5974985322967425,3,"b62,b106,b50",6.510693311691284,success,
