variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
HHO,13,42,42,0.4361006691817295,2.205132575770689,0.3153821143879011,2.600285103527307,3,"b65,b107,b32",6.161036968231201,success,
HHO,14,42,42,0.5609037382910931,1.9458698331821882,0.3129520543608718,2.6048958884206863,3,"b22,b23,b42",6.578007221221924,success,
HHO,15,42,42,0.4798515122983227,2.117861646097249,0.3496708572121062,2.5343316988575864,3,"b53,b24,b55",6.1476891040802,success,
HHO,16,42,42,0.4327405110778001,2.2116927793389327,0.3230667093620724,2.5856502770772862,3,"b49,b26,b39",6.129461050033569,success,
HHO,17,42,42,0.43445385476600984,2.2083501683963354,0.3200262654807815,2.5914504917645913,3,"b49,b105,b29",7.011228799819946,success,
HHO,18,42,42,0.4347045928417397,2.207860571867848,0.3092218166247669,2.6119577882125644,3,"b53,b107,b40",6.301063299179077,success,
HHO,19,42,42,0.44036854578406726,2.196771944566732,0.30954351228211296,2.6113495225294034,3,"b44,b107,b46",5.889627933502197,success,
HHO,20,42,42,0.4363482614552313,2.2046484168955627,0.3126350192794086,2.605496827654263,3,"b53,b107,b42",5.950734853744507,success,
HHO,21,42,42,0.4413884799884862,2.194769211676771,0.3239229873895697,2.584014417128624,3,"b54,b100,b32",6.381793975830078,success,
HHO,22,42,42,0.5280991043484703,2.01724810520985,0.33290144905066854,2.566798910142582,3,"b46,b23,b31",6.384862899780273,success,
HHO,23,42,42,0.4349835199742056,2.207315805189334,0.31664023353201143,2.5978947388356084,3,"b53,b105,b39",6.8810648918151855,success,
HHO,24,42,42,0.524799447495661,2.024288388000466,0.2626804294719258,2.698514327779812,3,"b23,b53,b42",6.661360025405884,success,
HHO,25,42,42,0.41322137292405636,2.24942262344593,0.29644510283319236,2.636002651323702,3,"b96,b106,b29",6.814646005630493,success,
HHO,26,42,42,0.4323720803557488,2.212410901570367,0.3068313439881494,2.6164732906846146,3,"b69,b106,b41",6.753278970718384,success,
HHO,27,42,42,0.511158231118082,2.0531376584952636,0.2997689754063363,2.6297685181032144,3,"b42,b24,b39",6.281457901000977,success,
HHO,28,42,42,0.5647647503801221,1.937295841216765,0.1927257869722495,2.823627399802265,5,"b62,b70,b96,b99,b26",7.418345928192139,success,
HHO,29,42,42,0.43464301913051206,2.2079808120695588,0.30976087248008055,2.6109384552589634,3,"b53,b107,b37",6.2173988819122314,success,
+SCI,0,42,42,0.4463278076043873,2.185044426145309,0.321801323507266,2.588065816208198,5,"b62,b70,b99,b41,b40",6.459456920623779,success,
+SCI,1,42,42,0.43912611298452753,2.1992091095339785,0.3232254107936685,2.5853471671108705,3,"b48,b100,b28",6.550802946090698,success,
+SCI,2,42,42,0.571162499594865,1.9230044683146355,0.38070488061584873,2.473122771446905,3,"b49,b23,b32",6.25031304359436,success,
+SCI,3,42,42,0.43639964334620374,2.204547927906921,0.3147429951779156,2.601498557423,3,"b49,b104,b38",6.288725137710571,success,
+SCI,4,42,42,0.5665823284748104,1.9332464560003615,0.34386050706159255,2.5456279862950506,3,"b47,b21,b22",27.923153162002563,success,
+SCI,5,42,42,0.5686333273468629,1.9286668223785906,0.31467314230998533,2.6016311481904557,3,"b53,b24,b29",6.1907958984375,success,
+SCI,6,42,42,0.4385457040279003,2.2003467187544175,0.3196915587449488,2.5920882143553694,3,"b42,b102,b31",6.478394031524658,success,
+SCI,7,42,42,0.5331446370204427,2.0064349836369435,0.34959803780044874,2.5344735834551555,4,"b53,b63,b21,b23",7.086127281188965,success,
+SCI,8,42,42,0.5210641268400156,2.0322287883713934,0.26963073125495485,2.6857655152941153,4,"b103,b108,b51,b45",6.431131362915039,success,
+SCI,9,42,42,0.43661735863800544,2.2041220852415857,0.31113532003982247,2.6083376274540107,4,"b55,b95,b99,b39",5.946768760681152,success,
+SCI,10,42,42,0.524799447495661,2.024288388000466,0.2626804294719258,2.698514327779812,3,"b23,b53,b42",5.961367130279541,success,
+SCI,11,42,42,0.43439603863162946,2.208463046017534,0.32182404541035925,2.588022461454445,3,"b53,b106,b33",6.196653127670288,success,
+SCI,12,42,42,0.42458857852689724,2.227527910775622,0.3058442723789836,2.61833555588616,3,"b53,b111,b36",5.837766170501709,success,
+SCI,13,42,42,0.43853313876181255,2.200371340337614,0.3233434677789855,2.5851216624825986,3,"b66,b104,b47",6.26200795173645,success,
+SCI,14,42,42,0.636519432566663,1.7704126908345807,0.35491204703729085,2.524098584781438,5,"b77,b78,b29,b21,b22",6.993293762207031,success,
+SCI,15,42,42,0.4426982080084869,2.1921947591846735,0.3259425525330003,2.580152069794277,4,"b49,b69,b99,b27",6.240594863891602,success,
+SCI,16,42,42,0.447767649991867,2.1822014373815857,0.32718651035790336,2.577770164106576,4,"b65,b70,b99,b54",6.369453191757202,success,
+SCI,17,42,42,0.44464522467153955,2.188362029553276,0.327332868006155,2.577489776670608,3,"b98,b53,b40",5.803984880447388,success,
+SCI,18,42,42,0.4385066740887448,2.200423196845981,0.3251378895728769,2.581691651896851,3,"b53,b103,b29",6.233364105224609,success,
+SCI,19,42,42,0.4404648611335965,2.1965828987576717,0.3165538956797943,2.5980588468054524,3,"b43,b106,b44",6.323505163192749,success,
+SCI,20,42,42,0.4385358464302035,2.2003660346966933,0.3186158528656362,2.5941367139817935,8,"b49,b70,b107,b97,b99,b52,b28,b34",5.8100669384002686,success,
+SCI,21,42,42,0.44409786500855575,2.189440192699921,0.31946343408264377,2.592522774365165,4,"b62,b71,b100,b31",6.485371828079224,success,
+SCI,22,42,42,0.4953986887476073,2.085970214061577,0.3658127872525502,2.5026815275766583,8,"b62,b103,b18,b96,b97,b102,b100,b32",6.946792840957642,success,
+SCI,23,42,42,0.4381620268569175,2.2010984082791576,0.3089525301200443,2.612466849200048,3,"b63,b107,b45",5.921522855758667,success,
+SCI,24,42,42,0.4337343463770311,2.2097544936083886,0.3068302028063675,2.616475444468111,3,"b67,b107,b41",6.224992036819458,success,
+SCI,25,42,42,0.44494359613483736,2.187774087813782,0.3216734777145549,2.5883097401096613,5,"b63,b70,b84,b98,b42",5.833389043807983,success,
+SCI,26,42,42,0.4442256317662162,2.1891885712972923,0.3270698740710499,2.577993590446629,3,"b48,b99,b32",6.124146223068237,success,
+SCI,27,42,42,0.4340593375740436,2.209120291424979,0.3262019892437661,2.5796554870542785,3,"b57,b104,b28",6.219480037689209,success,
+SCI,28,42,42,0.444600520477349,2.18845010567761,0.32669352602899326,2.5787143838746402,3,"b62,b99,b55",6.279060125350952,success,
+SCI,29,42,42,0.4383779077779778,2.2006754920394234,0.3138107466502458,2.6032675425601015,11,"b48,b69,b65,b71,b106,b110,b104,b49,b31,b37,b44",6.363797903060913,success,
+SCI+SDGE,0,42,42,0.44268568677979236,2.1922193857139085,0.3236584827818513,2.5845198454078555,3,"b62,b99,b41",5.968728065490723,success,
+SCI+SDGE,1,42,42,0.43912611298452753,2.1992091095339785,0.3232254107936685,2.5853471671108705,3,"b48,b100,b28",6.335684061050415,success,
+SCI+SDGE,2,42,42,0.4348553741267025,2.2075661008252117,0.3101879046728633,2.6101306719627617,3,"b64,b106,b38",5.9722278118133545,success,
+SCI+SDGE,3,42,42,0.525834140313273,2.0220833631660877,0.34994842675734517,2.5337907970835536,3,"b62,b21,b22",6.248532056808472,success,
+SCI+SDGE,4,42,42,0.5171806611214838,2.040451347480763,0.3260053997240636,2.5800317839858398,3,"b46,b24,b31",6.033934116363525,success,
+SCI+SDGE,5,42,42,0.47730550678126993,2.123038538282187,0.3544749455335706,2.524953584826486,3,"b53,b24,b54",5.941411972045898,success,
+SCI+SDGE,6,42,42,0.4351166973877282,2.207055651773942,0.33034519288048614,2.5717120687011255,3,"b77,b24,b52",5.8120410442352295,success,
+SCI+SDGE,7,42,42,0.522522897088405,2.029131488808181,0.3702614261160708,2.4938882883910063,16,"b49,b77,b54,b43,b70,b96,b103,b105,b99,b15,b23,b52,b55,b31,b34,b38",6.15930700302124,success,
+SCI+SDGE,8,42,42,0.4172446086492372,2.2416977991561677,0.31782742411624565,2.595637116261922,3,"b84,b18,b25",6.127492189407349,success,
+SCI+SDGE,9,42,42,0.5046395930600074,2.0667814792897823,0.31380141151116736,2.6032852503439217,3,"b17,b40,b39",6.064418077468872,success,
+SCI+SDGE,10,42,42,0.4387119543043695,2.2000209261329102,0.31882351874126813,2.5937413755176055,3,"b43,b104,b41",6.250598907470703,success,
+SCI+SDGE,11,42,42,0.43433516348870227,2.2085818896745297,0.3124412040750626,2.6058641356506036,3,"b53,b106,b38",6.167304039001465,success,
+SCI+SDGE,12,42,42,0.44448580605853594,2.18867609960587,0.3219504599544176,2.587781241661249,17,"b49,b53,b73,b42,b72,b69,b65,b83,b111,b94,b36,b31,b40,b48,b38,b43,b45",5.842531204223633,success,
+SCI+SDGE,13,42,42,0.4383933631579513,2.2006452114375743,0.33277244478013335,2.567047083379964,3,"b64,b25,b54",6.340733051300049,success,
+SCI+SDGE,14,42,42,0.4434545673368142,2.1907066517153337,0.31419316484934756,2.602542031613833,3,"b44,b100,b39",6.1171698570251465,success,
+SCI+SDGE,15,42,42,0.48680377229566996,2.1036604550894547,0.43746363863714155,2.357068193177829,3,"b111,b103,b37",6.114010810852051,success,
+SCI+SDGE,16,42,42,0.577656413112828,1.9083888364534463,0.32894069006801707,2.574407550672172,3,"b21,b23,b44",6.436179161071777,success,
+SCI+SDGE,17,42,42,0.4192327223611131,2.237870672174004,0.3027848655937746,2.624099209674312,3,"b78,b18,b107",6.108206748962402,success,
+SCI+SDGE,18,42,42,0.43790945233819834,2.2015931050875013,0.32250052616323255,2.586731362749164,3,"b49,b103,b29",6.068932294845581,success,
+SCI+SDGE,19,42,42,0.5189533967789649,2.0367020080079237,0.325197580585715,2.5815774750932516,3,"b44,b24,b37",6.543566703796387,success,
