b28,b34,b35,b48,b53,b57,b58,b59,b60,b61,b62,b63,b64,b66,b69,b70,b71,b72,b73,b75,b78,b87,b90,b91,b92,b95,b102,b103,b104,b106,b109,b111,b112,b113,b118,b132,b142,b143,b144,b148,b152,b156,b157,b161,b162,b163,TS
1353.935339,1469.90781,1480.81146,1785.517446,1902.737356,2127.823303,2162.571383,2180.010083,2197.398688,2224.515685,2265.9992,2302.384923,2330.944782,2377.090589,2432.007042,2458.493438,2471.356914,2472.993438,2483.639885,2532.238796,2598.704225,2684.28009,2726.601312,2754.991357,2801.904449,2805.525288,2836.534731,2847.542734,2862.748079,2863.394206,2748.935659,2776.165333,2819.262324,2854.770166,2975.464309,3219.909571,3048.914693,3044.144686,3032.734955,2656.74936,2315.828585,2388.097471,2325.146287,2421.319942,2320.725512,2273.244878,11.2
1032.78715,1124.06615,1140.148125,1295.806298,1385.881152,1625.788732,1665.316031,1665.464156,1667.125495,1670.722899,1694.154613,1716.859946,1728.833201,1769.558316,1867.866909,1873.523975,1883.934325,1906.445007,1929.13404,1966.203671,2054.750119,2217.598512,2213.473018,2213.771483,2254.143377,2331.512265,2383.371261,2401.667985,2423.93021,2442.350214,2370.628897,2405.881785,2464.51448,2524.153347,2616.932743,2982.488052,2941.830511,2912.018516,2875.566387,2464.494857,2094.572242,2320.955056,2281.443425,2345.322361,2204.412724,2078.234847,1.625
929.3708387,1019.778649,1021.182138,1163.162932,1240.59507,1437.691101,1464.430218,1486.616037,1507.691261,1530.681658,1554.230954,1575.09283,1605.360755,1662.158451,1719.163572,1740.551536,1760.916133,1771.568022,1780.324584,1840.622119,1917.007522,2110.883483,2134.147567,2150.268246,2177.054417,2256.427177,2331.511844,2363.982714,2367.479353,2363.8137,2339.778969,2355.111876,2389.295615,2418.693022,2618.878521,2917.306978,2870.34507,2866.167093,2862.755602,2558.211428,2289.252081,2357.819622,2312.816421,2329.956786,2289.808259,2260.307778,2.25
1846.415584,2003.543669,2046.909091,2277.984578,2392.911039,2605.212662,2661.041071,2688.086851,2711.132468,2734.440584,2773.690747,2814.297727,2824.381331,2838.226461,2904.044968,2896.470292,2889.987175,2948.676299,3008.444156,3018.508279,3032.166071,3071.440097,3094.743669,3099.330195,3098.031981,3113.943669,3135.959578,3136.890584,3129.277597,3100.946429,2998.586039,2981.808279,3009.770292,3036.896753,3167.466071,3306.187338,3169.254058,3144.939773,3069.710714,2600.256981,2319.476786,2337.820455,2306.391396,2174.693344,2080.971266,1992.778571,6.45
1042.314501,1144.002881,1157.340109,1404.884443,1490.354033,1691.382202,1730.68806,1758.074104,1785.654449,1813.307458,1830.519526,1846.06258,1879.600832,1947.335147,2000.901889,2010.205506,2021.56226,2041.041773,2060.932458,2095.008643,2177.341709,2342.800896,2385.15669,2411.483515,2437.079385,2539.238636,2587.684699,2597.691421,2610.364117,2622.930218,2575.545455,2593.324264,2625.370839,2658.112836,2825.959347,3128.285531,3047.261364,3052.972471,3075.047535,2736.783451,2614.326344,2618.319942,2597.430698,2486.308579,2399.996799,2321.099712,2.125
2261.809059,2291.877721,2314.609475,2582.955666,2715.202785,2942.87372,2991.462068,3004.784091,3017.524648,3028.267286,3066.598111,3107.473912,3103.244078,3096.337708,3175.277689,3207.87596,3241.31258,3260.421735,3279.334187,3267.244878,3253.994558,3291.108835,3308.885563,3319.212708,3334.724872,3297.525288,3321.390205,3296.810339,3324.06322,3326.464149,3238.107875,3241.247599,3261.816741,3281.840269,3379.225192,3470.550256,3263.642606,3242.358195,3220.934379,2798.415653,2446.772407,2690.821703,2632.537292,2496.59443,2443.325384,2400.483195,7.575
1040.38474,1142.360714,1157.514935,1361.153409,1433.28539,1655.339448,1694.326136,1708.833766,1722.002435,1736.064123,1772.899513,1808.823701,1830.637987,1867.498864,1904.085065,1925.065909,1945.934416,1969.641883,1992.593506,2047.821916,2115.775325,2322.848052,2342.864935,2343.514123,2377.821916,2449.732955,2563.555682,2574.527597,2581.487987,2590.186688,2530.025812,2531.428084,2570.269318,2609.026461,2786.84513,3093.919481,3058.259091,3036.261364,2998.010065,2617.862825,2296.581006,2433.810065,2384.438149,2460.013312,2340.930682,2220.751461,3.0
913.0857875,986.6714149,996.5867478,1151.852913,1229.768566,1429.048496,1461.018406,1476.383643,1490.752721,1506.546095,1532.099872,1556.925576,1579.212868,1621.65557,1681.28233,1714.184699,1745.306978,1759.96783,1772.548816,1814.951184,1898.671895,2109.31242,2123.03105,2130.855154,2168.510883,2239.951504,2335.31402,2369.93758,2385.943502,2394.463028,2368.296255,2406.65605,2446.264885,2485.453905,2640.126921,3021.618598,3050.754641,3051.790333,3026.90749,2779.379161,2446.497439,2578.816581,2519.102913,2630.899968,2569.585147,2519.358035,4.825
846.4483304,921.6520019,936.8363665,1111.7536,1197.423326,1382.308277,1396.290078,1422.141795,1449.845229,1477.402595,1511.932901,1546.060136,1569.291977,1612.132932,1699.622883,1722.670517,1744.548663,1769.677481,1795.042095,1815.326634,1861.562906,2082.495648,2156.407976,2180.045102,2221.627947,2312.894604,2389.586327,2415.022788,2414.207311,2405.571451,2418.220446,2425.414781,2454.241969,2482.277101,2667.186422,2984.194335,2994.369837,3005.991613,2993.073904,2655.798544,2461.030068,2505.351638,2496.842697,2557.254945,2490.451654,2428.413831,4.35
964.5253996,1038.55436,1042.541383,1240.360342,1297.487102,1503.25906,1538.752492,1570.873081,1602.391676,1629.112676,1629.887957,1632.948093,1654.745213,1703.398323,1788.545656,1814.661655,1836.408134,1849.482355,1866.244342,1931.094319,2016.708182,2247.233898,2244.319196,2241.146542,2276.95379,2326.941605,2465.810888,2497.391676,2490.191803,2479.925305,2432.75455,2469.393733,2520.61054,2570.336287,2680.873239,3106.927995,3109.344833,3055.080551,2998.757557,2641.433296,2233.287545,2418.213958,2378.01725,2445.198133,2365.610698,2296.256686,2.15
