b17,b20,b23,b29,b32,b48,b59,b71,b99,b101,b133,b141,b146,b151,TS
524.6396582,557.3184048,592.7398323,842.3487894,859.6896661,1040.454819,1319.465263,1582.178984,2072.419845,2075.034974,2646.573508,2633.076436,2525.813103,2249.532521,2.3
532.4135148,572.6592815,631.8414306,875.2826397,903.2291502,1144.806457,1483.720525,1760.008546,2420.60595,2429.206678,3104.053964,3089.39579,2995.490109,2785.849502,2.175
576.3078019,630.3635069,686.618927,931.6811204,969.8683336,1174.831461,1443.900617,1731.989081,2196.234689,2197.94382,2814.961386,2776.718626,2668.689033,2287.742048,4.625
861.5346709,932.3648475,1010.698555,1324.406742,1353.054735,1610.67817,1956.984751,2204.182183,2662.84077,2661.213965,3124.910594,3083.872231,2897.798716,2515.382183,6.45
1423.862003,1502.245608,1625.895395,1997.890647,2009.817218,2333.775439,2641.267131,2833.29435,2965.516854,2961.01899,3137.388194,3045.019782,2781.28533,2430.360817,6.05
680.349872,736.1678937,805.3569142,1141.862036,1149.68806,1402.439341,1712.264085,1951.196863,2253.770487,2255.431498,2546.332746,2464.076985,2319.492478,1816.925896,4.525
608.9417629,661.0033233,733.4594081,1026.044469,1047.487261,1278.31065,1578.012818,1833.26175,2292.180567,2304.250198,2770.735876,2717.758664,2640.009179,2335.076278,3.475
590.1050799,645.6304795,696.013768,961.0234214,975.040671,1164.151132,1472.160627,1716.303371,2259.483463,2285.217598,2901.749011,2914.810097,2862.215699,2549.262542,3.275
875.9322983,967.1056338,1046.93886,1398.590109,1445.888284,1785.517446,2180.010083,2471.356914,2868.065941,2843.148848,3214.15573,3047.425096,2866.271287,2481.077465,11.2
667.8013926,731.6739991,800.560057,1079.821649,1110.206995,1295.806298,1665.464156,1883.934325,2334.243709,2366.11869,2948.159044,2896.411458,2708.64947,2396.714512,1.625
588.4204545,658.5757042,689.840589,960.7293534,988.0019206,1163.162932,1486.616037,1760.916133,2302.119238,2305.145807,2910.81274,2874.168214,2753.109315,2354.801216,2.25
1375.083604,1433.433442,1534.139286,1911.585065,1957.525487,2277.984578,2688.086851,2889.987175,3123.598377,3136.391883,3250.848864,3127.077273,2872.048701,2406.391396,6.45
679.4113316,726.4198143,806.2664853,1093.840749,1122.050736,1404.884443,1758.074104,2021.56226,2575.960147,2578.037452,3162.828105,3077.940621,3005.549776,2647.894366,2.125
1702.060659,1751.471511,1886.713828,2289.928457,2253.37548,2582.955666,3004.784091,3241.31258,3308.940301,3352.571383,3472.026408,3281.896607,3083.240237,2573.525448,7.575
617.7915584,681.9521104,765.1907468,1083.737013,1105.220942,1361.153409,1708.833766,1945.934416,2539.776299,2550.546916,3072.314286,3007.999026,2856.721104,2464.858929,3.0
581.8098592,627.3106594,678.1856594,953.4553457,973.2021447,1151.852913,1476.383643,1745.306978,2292.427977,2305.252241,2989.604193,2992.664853,2911.776248,2687.110915,4.825
