b24,b31,b37,b58,b59,b70,b72,b85,b86,b95,b96,b108,b112,b113,b116,b122,b129,b143,TS
642.4584586,896.3600253,963.3046368,1453.110777,1483.720525,1749.003007,1778.942238,2116.463523,2145.609748,2369.729862,2403.37775,2467.241019,2528.803292,2566.436303,2638.883526,2868.890806,2982.605792,3060.76626,0.7905675700722566
695.8447539,952.4296566,1029.975154,1411.719576,1443.900617,1701.413357,1730.805349,1970.592815,2007.146384,2155.112676,2159.885583,2212.500079,2252.300839,2279.932584,2397.700902,2550.220288,2748.683178,2799.786042,1.5846643614924818
1030.337881,1343.793419,1411.83114,1922.126645,1956.984751,2187.758748,2238.239807,2481.104334,2487.701926,2616.710754,2638.293579,2618.251364,2646.083628,2676.742857,2776.545425,2945.771429,3023.526645,3029.428892,1.943272567803069
1662.587435,2012.67938,2066.236588,2588.687134,2641.267131,2808.75724,2858.352904,3016.223295,3022.191486,2916.067416,2922.444532,2866.997468,2831.671467,2851.140845,2893.856939,2985.622883,3156.210635,3038.39579,1.873833608022636
831.693662,1139.797855,1234.158451,1690.632522,1712.264085,1936.076344,1975.179738,2161.676697,2174.982234,2257.746479,2255.665333,2250.799296,2233.263924,2252.096191,2324.859795,2445.815781,2562.441741,2488.628521,1.5612812165050718
754.837949,1038.162367,1109.074062,1556.745846,1578.012818,1802.656749,1847.290711,2110.299414,2111.572559,2240.70106,2242.48457,2334.272511,2369.354645,2401.95474,2481.354961,2612.17297,2747.856939,2765.381389,1.2806287135245702
715.5967716,962.0705808,1027.607058,1451.523659,1472.160627,1708.687767,1746.379332,2037.357493,2053.247033,2207.367305,2227.793955,2347.985282,2386.451654,2425.645355,2539.802342,2689.883368,2858.039721,2940.510049,1.2180688801047306
1084.743598,1433.057298,1534.285851,2162.571383,2180.010083,2458.493438,2472.993438,2683.602913,2686.447663,2805.525288,2828.585627,2800.164373,2819.262324,2854.770166,2903.441421,3050.052657,3175.623079,3044.144686,2.550040543597077
810.6523184,1109.806298,1160.00269,1665.316031,1665.464156,1873.523975,1906.445007,2195.493907,2216.978794,2331.512265,2331.172337,2399.590916,2464.51448,2524.153347,2570.678588,2708.995252,2861.393891,2912.018516,0.4907706803944981
705.3583547,966.7275928,1031.162612,1464.430218,1486.616037,1740.551536,1771.568022,2078.159731,2101.463508,2256.427177,2275.110275,2370.020487,2389.295615,2418.693022,2555.296415,2727.440141,2884.461428,2866.167093,0.8256837244714933
1559.341071,1944.681981,2084.949351,2661.041071,2688.086851,2896.470292,2948.676299,3040.82711,3053.046753,3113.943669,3126.989448,3042.718344,3009.770292,3036.896753,3111.704708,3191.771266,3235.602273,3144.939773,1.943272567803069
821.2485595,1112.216229,1187.507362,1730.68806,1758.074104,2010.205506,2041.041773,2318.543054,2349.306658,2539.238636,2570.236716,2591.272407,2625.370839,2658.112836,2749.341229,2950.721031,3046.721991,3052.972471,0.7665079810324058
1940.50112,2238.12356,2373.886204,2991.462068,3004.784091,3207.87596,3260.421735,3319.231274,3298.464949,3297.525288,3274.239437,3260.955186,3261.816741,3281.840269,3276.72023,3351.770327,3429.866357,3242.358195,2.118520750124681
792.0461039,1083.117045,1183.12711,1694.326136,1708.833766,1925.065909,1969.641883,2287.311851,2303.594968,2449.732955,2468.034091,2563.123052,2570.269318,2609.026461,2691.612825,2890.300162,2988.996104,3036.261364,1.1258065117288665
696.5771447,967.5305698,1014.779609,1461.018406,1476.383643,1714.184699,1759.96783,2080.912292,2096.46927,2239.951504,2242.704866,2378.24952,2446.264885,2485.453905,2579.459347,2750.738796,2933.059539,3051.790333,1.6300154591773683
641.9547397,894.4975471,970.6068998,1396.290078,1422.141795,1722.670517,1769.677481,2041.542016,2056.276943,2312.894604,2321.589176,2433.9348,2454.241969,2482.277101,2609.287387,2789.16126,2910.741098,3005.991613,1.5191462548029435
743.9414464,1020.592974,1068.222662,1538.752492,1570.873081,1814.661655,1849.482355,2202.151765,2223.559107,2326.941605,2332.956955,2454.923564,2520.61054,2570.336287,2674.082292,2785.504352,3017.06251,3055.080551,0.7786046169981008
1124.02263,1462.681595,1536.657541,2082.885108,2118.273303,2375.575566,2415.893654,2663.437411,2674.454028,2801.884317,2810.452762,2823.502611,2822.562906,2842.614812,2940.292293,3108.136414,3229.83241,3147.089413,2.195315654472197
609.990557,846.650128,891.8447503,1281.707586,1300.237996,1547.683099,1594.471031,1913.573464,1920.970391,2070.06402,2082.608515,2215.809379,2252.638444,2287.524968,2361.850352,2542.550736,2715.477273,2787.428297,0.3920257514827788
