b14,b15,b27,b29,b31,b33,b34,b35,b37,b48,b49,b51,b52,b53,b56,b58,b59,b60,b61,b64,b65,b73,b75,b76,b80,b81,b82,b84,b88,b90,b91,b95,b102,b103,b110,b111,b113,b116,b120,b121,b133,b138,b145,b146,b152,b155,b158,b160,b163,TS
654.1446863,693.2098271,1098.25064,1243.667254,1263.622119,1293.257362,1304.945583,1317.372439,1349.489597,1558.606754,1575.701504,1597.881562,1596.699584,1614.316741,1807.300416,1881.037132,1904.703105,1927.34459,1949.268246,2053.696863,2083.815461,2223.857554,2272.086428,2297.204065,2418.870038,2439.022247,2462.461268,2512.917734,2525.767125,2547.78041,2562.490397,2646.523047,2707.051697,2733.34219,2648.254161,2662.46911,2704.712228,2730.81226,2931.15653,2966.904449,3168.12356,3044.341069,2958.143406,2870.233515,2298.674776,2448.389085,2342.364597,2376.273367,2169.052497,8.875
447.4583867,478.5102433,740.1771767,849.5390525,846.650128,849.831306,857.371799,869.2893726,891.8447503,996.8484315,1009.846511,1038.899968,1051.232554,1079.492478,1251.658131,1281.707586,1300.237996,1317.508643,1336.603553,1416.706466,1427.481114,1613.511044,1653.949264,1676.09443,1790.893566,1815.665653,1849.31178,1905.111236,1945.503361,1964.691741,1976.458547,2070.06402,2152.222631,2165.085627,2189.0008,2217.447183,2287.524968,2361.850352,2492.091709,2521.036332,2811.096991,2722.170294,2773.756402,2697.338828,2273.491997,2383.425896,2374.245038,2393.260403,2152.354513,1.475
550.6664029,550.0468429,842.329799,959.4396265,989.1607849,994.0235797,1004.734135,1018.834942,1044.071372,1183.745371,1219.21918,1251.874347,1236.081658,1251.906156,1435.258743,1514.338503,1526.641399,1538.86501,1551.521127,1605.07153,1613.670676,1777.358759,1849.41573,1882.337553,1939.633486,1945.365881,1973.147175,2027.173129,2097.762621,2101.161418,2104.037348,2243.966925,2335.749486,2354.368254,2276.929736,2329.491059,2433.069315,2563.530305,2648.264757,2673.846969,2903.464947,2784.385029,2885.416838,2766.676215,2215.169331,2488.175819,2303.229941,2406.922931,2198.796012,2.1
1031.373239,1048.426376,1445.783771,1599.516965,1574.68598,1611.485275,1628.322023,1643.659571,1689.662612,1886.959347,1890.49968,1899.254001,1943.403969,1996.395967,2152.93902,2197.78185,2225.516485,2254.568022,2284.31402,2364.504321,2394.862036,2543.252081,2573.466549,2591.645006,2671.696383,2704.394686,2720.637324,2738.631082,2790.306178,2800.589309,2805.215589,2938.193022,2976.160371,2997.421895,2935.12612,2945.139245,2987.316901,3062.935659,3193.735915,3228.067382,3370.701024,3306.103873,3354.017286,3297.317382,2899.273528,2945.59379,2886.183739,2852.049136,2568.987356,3.8
664.7186264,697.235322,1012.015034,1165.542016,1210.470802,1223.447381,1237.721475,1258.625099,1298.594714,1487.381231,1501.933217,1507.166799,1528.702326,1564.842064,1772.097326,1828.486153,1861.417788,1896.055389,1930.190853,2000.727489,2021.989239,2256.415889,2303.995094,2327.326792,2415.544706,2413.676215,2442.39405,2519.941446,2646.914543,2676.640133,2694.02532,2795.900775,2878.659123,2921.507201,2887.459883,2910.868017,2984.579047,3082.417788,3188.169964,3222.768634,3494.49818,3290.13863,3394.078968,3319.134357,2910.777338,3003.669726,2832.935275,2941.486311,2806.421111,8.725
1046.703425,1076.611556,1561.822983,1717.546575,1723.733195,1737.915173,1757.308579,1778.769526,1803.645647,2060.178457,2089.862996,2122.239277,2129.972951,2161.525448,2348.852913,2443.201825,2475.53089,2508.74936,2538.573624,2585.214629,2622.454706,2730.825864,2748.942382,2758.59331,2809.408451,2819.449584,2818.204225,2826.40637,2824.1879,2835.858035,2843.986076,2882.132682,2918.168534,2943.477113,2732.713188,2771.276729,2845.613956,2910.49968,2994.987836,3006.618118,3061.621319,2860.380762,2851.432939,2704.133483,1995.971191,2160.766325,1913.173656,2097.96783,1850.994878,8.375
404.3590758,433.8919133,687.1087197,772.330432,796.3101757,798.5016617,811.002532,824.9631271,855.6567495,958.6489951,970.2055705,995.1433771,1014.314923,1058.438994,1186.555784,1225.483146,1245.580313,1265.385188,1289.181833,1377.311758,1402.772432,1571.185156,1587.050008,1610.426333,1688.193702,1710.303371,1748.37142,1806.918975,1859.101757,1911.692673,1941.44295,2035.561323,2085.842538,2107.128185,2081.052065,2126.543124,2207.065991,2294.728913,2446.706283,2471.82244,2754.990663,2673.976579,2732.206837,2617.383922,2136.044786,2259.41668,2294.44295,2228.512581,2127.809147,1.775
1636.894206,1668.557939,2168.961108,2289.928457,2238.12356,2270.557458,2291.877721,2314.609475,2373.886204,2582.955666,2619.518566,2688.21815,2690.179257,2715.202785,2893.935819,2991.462068,3004.784091,3017.524648,3028.267286,3103.244078,3093.194302,3279.334187,3267.244878,3259.103873,3354.913892,3405.623079,3386.729513,3342.897887,3286.701184,3308.885563,3319.212708,3297.525288,3321.390205,3296.810339,3223.93742,3241.247599,3281.840269,3276.72023,3370.891965,3356.547855,3472.026408,3265.369398,3188.53105,3083.240237,2446.772407,2746.402849,2572.87356,2532.216229,2400.483195,7.575
449.9495839,469.7019846,723.7504802,826.0424136,847.6091549,893.2189501,906.3873239,914.6144366,929.0693022,1060.270967,1076.210147,1099.774168,1103.825224,1120.419014,1295.651088,1365.134283,1389.394686,1410.510243,1432.716869,1502.902849,1522.278329,1722.585627,1776.783611,1802.850672,1842.430378,1871.640365,1906.959987,1971.755602,2091.306978,2112.252241,2120.658131,2212.316421,2322.5621,2341.639085,2328.432778,2354.696863,2435.129641,2529.602753,2646.59267,2671.961268,2932.37564,2767.37532,2815.252881,2739.502081,2261.975992,2317.997919,2331.920615,2323.028009,2144.479033,2.4
482.9582665,489.3871589,745.8210273,851.8523274,881.7481541,885.1624398,890.2093098,896.99374,921.964366,1066.699839,1084.898395,1110.000321,1114.066774,1139.747191,1309.879936,1378.983788,1397.455377,1416.001124,1434.260835,1484.409149,1499.894222,1655.783628,1726.367576,1758.958266,1822.705778,1834.645907,1864.656501,1920.097432,2001.374799,2016.38443,2025.488925,2143.99679,2232.216051,2255.381541,2223.684591,2254.336437,2319.517817,2448.775923,2547.501445,2568.365329,2829.325682,2713.986356,2818.492616,2715.82825,2173.591493,2307.847994,2327.960032,2386.304976,2162.247352,1.575
1044.432778,1064.662932,1518.222951,1672.103713,1680.326344,1691.489757,1709.203105,1732.415493,1763.653969,1940.739117,1969.831946,2007.070743,2007.850672,2032.628681,2212.865077,2292.600672,2317.893246,2342.516485,2367.141005,2419.879001,2449.994078,2578.116517,2604.823944,2620.461268,2697.297535,2710.78137,2701.692061,2691.120519,2749.363476,2749.704866,2750.423335,2813.653169,2837.871159,2850.600992,2707.833067,2732.551376,2786.324264,2870.223592,2926.208387,2946.852593,3025.333547,2816.157971,2871.881082,2775.474392,2220.769366,2310.579065,2194.993118,2306.383643,2162.40765,11.8
435.8902049,462.1117157,726.5945903,830.8599552,841.7267926,861.824904,875.199904,890.8767606,906.7349552,1037.559859,1049.973431,1067.513124,1075.117798,1101.056178,1276.353073,1331.904289,1357.536492,1381.770006,1405.916293,1470.608195,1495.419174,1651.667734,1680.172855,1696.216869,1774.909571,1793.426216,1822.273848,1878.081626,1942.616037,1977.78265,1994.864117,2087.378841,2184.040173,2207.729994,2135.457907,2175.828585,2259.242958,2367.533771,2483.277849,2515.890205,2725.916133,2617.617157,2719.887484,2603.56146,2136.442862,2228.302497,2200.373079,2111.78281,1900.401408,4.475
