b160,b100,b142,b158,b155,b152,b14,b150,b163,b138,TS
2732.888764,2438.643086,3187.819782,2723.932939,2669.942061,2699.216869,558.8778809,2808.052337,2379.989117,3000.995198,1.675
2905.548015,2707.296895,3406.113796,2724.488316,3048.004161,2821.197023,563.5680218,3038.557618,2768.862836,3344.271927,4.125
2339.451985,2346.596991,2861.420935,2209.833227,2245.018726,2007.412292,657.7983355,2427.585147,2135.494718,2769.048335,4.225
3027.960627,2392.514885,3284.028809,3060.238956,3074.361716,3031.84299,488.8085787,3069.331306,2825.555378,3115.763924,1.65
1774.997279,2163.485115,2528.058579,1794.925576,1830.473431,1830.118118,725.1309219,1886.221831,1447.350352,2399.377401,10.2
2815.34299,2751.00144,3330.169334,2698.240557,2900.826504,2744.923816,704.3689181,2971.181498,2690.238636,3224.237036,6.825
2242.776547,2681.375218,2886.727963,2181.210635,2302.037031,2226.413673,853.0788099,2399.347365,2043.30796,2734.554202,8.55
1737.167734,2510.362516,2630.476953,1601.050416,1811.03009,1660.572823,795.9478233,1918.597791,1435.895166,2492.739437,8.225
2075.916284,2066.477924,2642.305428,2055.813578,2164.056971,2132.929103,465.0978003,2278.651211,1942.321412,2590.643614,2.3
2659.385504,2419.725589,3062.038297,2672.490742,2685.465105,2672.348315,483.5586327,2778.241336,2534.09606,3008.707074,2.175
2222.111094,2187.578256,2799.094952,2141.736351,2196.270771,2092.337237,502.5089413,2321.674474,2076.62953,2660.422693,4.625
2496.851204,2647.905618,3038.391974,2561.379615,2506.760995,2528.175923,779.5577849,2556.278973,2157.303852,3062.135795,6.45
2184.802026,2954.301788,3092.013451,2163.035132,2283.193543,2233.330907,1358.619402,2484.947935,1905.084349,2950.923406,6.05
1623.538252,2252.854994,2493.832907,1587.703905,1718.697503,1645.372919,609.128041,1916.363476,1372.525288,2363.564821,4.525
2215.902516,2292.980693,2764.237221,2160.409084,2261.772749,2166.019307,513.9181833,2376.878145,2189.765469,2617.433455,3.475
2492.348473,2268.184839,2936.384238,2334.263491,2568.355436,2339.014559,527.193385,2587.607375,2291.948568,2814.352746,3.275
2494.231274,2851.598271,3048.914693,2344.121639,2449.24856,2315.828585,801.6600512,2593.979834,2273.244878,2989.28057,11.2
2413.602785,2349.701219,2941.830511,2250.213958,2360.658965,2094.572242,642.1425859,2451.268713,2078.234847,2789.407659,1.625
2347.494558,2293.802817,2870.34507,2293.586588,2408.129161,2289.252081,519.5947503,2457.677177,2260.307778,2767.980794,2.25
2229.250325,3132.313799,3169.254058,2286.278896,2368.489448,2319.476786,1272.621591,2484.272565,1992.778571,3024.358766,6.45
2528.983515,2574.535051,3047.261364,2570.192862,2638.201665,2614.326344,626.6165173,2676.984795,2321.099712,3048.838988,2.125
2532.216229,3350.822663,3263.642606,2572.87356,2746.402849,2446.772407,1636.894206,2653.692382,2400.483195,3265.369398,7.575
2470.259091,2542.388149,3058.259091,2332.507955,2484.959253,2296.581006,542.6381494,2513.106331,2220.751461,2935.3125,3.0
2626.715429,2289.455986,3050.754641,2480.051536,2637.387004,2446.497439,509.1691741,2763.255602,2519.358035,2879.366677,4.825
2546.681437,2357.953315,2994.369837,2489.096851,2508.751385,2461.030068,483.9329008,2583.372211,2428.413831,2862.081817,4.35
2487.648046,2388.575408,3109.344833,2355.463364,2457.743472,2233.287545,553.136414,2598.55167,2296.256686,2969.056971,2.15
2631.388511,2849.932901,3149.24007,2642.945719,2631.371103,2447.335813,858.2660231,2797.749486,2341.686976,3168.66213,8.125
2393.260403,2131.600992,2783.449584,2374.245038,2383.425896,2273.491997,447.4583867,2453.246639,2152.354513,2722.170294,1.475
2097.96783,2876.669974,2883.026248,1913.173656,2160.766325,1995.971191,1046.703425,2311.760243,1850.994878,2860.380762,8.375
2645.235595,2318.864917,3095.180058,2487.828745,2610.565301,2351.990717,511.0473752,2711.71927,2487.637484,2914.223111,1.325
