b25,b26,b28,b29,b32,b35,b57,b58,b59,b67,b71,b97,b98,b99,b105,b106,b135,b140,TS
623.112516,658.8444302,794.4010883,830.8599552,851.6387644,890.8767606,1304.552977,1331.904289,1357.536492,1526.862036,1599.15685,2134.302337,2158.040173,2158.440461,2215.677657,2207.169494,2763.018566,2672.458387,4.475
710.0889381,749.5717677,892.7119797,933.7776547,948.3168223,976.9759456,1376.1304,1398.732394,1414.623675,1569.679221,1656.762937,2131.032125,2147.805507,2161.206678,2223.176135,2227.524767,2859.538851,2695.966767,3.9
732.6815952,768.956797,932.3486311,982.1775597,1004.180567,1043.015192,1507.601677,1548.262542,1578.05982,1779.978636,1860.550245,2425.739041,2430.98101,2433.318405,2486.637759,2483.401171,3144.902674,3079.499921,2.175
1055.278525,1103.694572,1281.43298,1325.184365,1316.881627,1346.923406,1816.041146,1839.873239,1858.252572,2001.946036,2069.96376,2346.513056,2362.160468,2369.160943,2405.101282,2401.372053,2778.663713,2689.917392,4.95
1045.606594,1097.893886,1282.926857,1333.153009,1339.773848,1367.480154,1878.40493,1905.732554,1919.886204,2087.210147,2200.628521,2603.243598,2622.46767,2643.488956,2728.830346,2734.670294,3236.888924,3177.976472,9.0
1406.439968,1452.385393,1652.413644,1716.983788,1784.457303,1805.515409,2474.37512,2500.354414,2524.055538,2686.386677,2744.671268,2935.925843,2939.901284,2935.98122,2922.948957,2910.033868,2996.757785,2843.695666,5.775
604.4519481,644.3042208,782.761526,816.6842532,830.2318182,867.9741883,1249.832468,1276.120617,1290.60276,1464.213961,1555.761039,2054.857143,2068.012825,2076.139123,2135.671266,2141.616071,2694.887013,2574.191071,1.9
749.3476312,794.9428617,937.7684059,971.6294814,1001.414693,1044.918534,1518.559059,1537.84219,1574.550576,1754.03137,1868.68758,2418.944142,2430.443662,2436.319302,2518.570583,2522.051697,3113.735275,3118.273688,1.675
755.93758,795.4467029,963.2485595,1014.15749,1035.776729,1078.378041,1606.180858,1644.409891,1663.356274,1891.681658,2001.0,2666.953585,2665.379481,2677.602913,2780.845711,2791.049296,3520.036172,3386.794014,4.125
860.0641805,918.3237836,1098.816901,1135.584187,1165.886844,1207.609955,1647.145487,1673.613476,1694.431018,1856.336588,1941.838508,2354.383483,2373.076985,2358.297695,2452.410051,2453.369878,2906.013604,2820.833547,4.225
659.3799616,689.7143086,820.3433099,864.5040013,902.7223111,947.8111396,1383.100672,1418.173976,1434.919334,1618.28121,1730.12516,2338.333707,2355.152209,2373.955346,2475.109475,2480.40685,3218.461268,3195.576665,1.65
892.9271767,932.5745839,1096.633643,1143.28089,1167.126921,1197.068182,1567.795935,1589.396447,1606.372439,1747.840429,1834.53137,2121.75096,2133.198464,2148.419334,2162.103873,2154.784251,2572.163732,2454.525608,10.2
941.3385083,985.5518566,1154.755762,1202.447343,1249.229834,1310.462548,1809.850352,1838.497279,1866.145967,2081.071063,2152.319782,2706.102753,2734.888124,2748.597311,2821.263924,2819.422535,3370.654609,3252.898848,6.825
1175.183257,1235.053489,1433.842222,1487.614179,1497.886374,1528.551511,2094.188796,2128.839215,2145.395157,2316.748694,2383.181041,2664.21016,2678.093369,2685.495806,2705.653584,2703.160468,2967.949517,2789.792214,8.55
1091.460467,1150.50032,1341.483355,1382.902529,1387.548015,1433.972791,1984.946543,2010.46767,2035.042254,2173.174296,2276.238636,2514.098271,2525.176697,2523.488956,2534.482875,2523.899008,2649.368598,2572.909091,8.225
635.6470961,676.0449438,807.4560848,842.3487894,859.6896661,891.7474284,1273.181358,1297.360342,1319.465263,1476.252572,1582.178984,2023.292293,2056.878462,2072.419845,2124.596772,2121.70739,2678.540434,2624.365564,2.3
653.645197,685.3217281,831.1343567,875.2826397,903.2291502,936.8012344,1421.950942,1453.110777,1483.720525,1692.954423,1760.008546,2410.866593,2416.485995,2420.60595,2497.145593,2498.149074,3134.898718,3094.950942,2.175
