variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
HHO,19,0.4418790245632038,2.193805331989486,1.7895998563820816,0.33017221269431773,2.572044199900277,1.8629076425442184,1,3.9723849296569824
HHO,20,0.4363392581056229,2.2046660245243874,1.8154722517444033,0.3216254726250517,2.5884013256797416,1.8830932873882604,6,4.97545599937439
HHO,21,0.4443179319041638,2.1890067791809757,1.7955631425546004,0.3297890893668062,2.572779664511003,1.879966848056429,13,5.039093732833862
HHO,22,0.44414166814250455,2.1893539309055305,1.8027156322569573,0.33329410035634954,2.566043395615704,1.8832130817894477,3,4.728385925292969
HHO,23,0.45533929472394585,2.16718974731977,1.7630781565995575,0.3302841197608106,2.571829337252308,1.752887347884556,2,3.991274118423462
HHO,24,0.5903000153366181,1.8796062880537643,1.529172360676091,0.2589496942038595,2.705332768606216,1.9139494705727362,8,5.436607837677002
HHO,25,0.4483390193118898,2.1810722336767734,1.7857509081007983,0.3254292311027456,2.581134326793968,1.866726234301495,2,4.850908041000366
HHO,26,0.4195504328269233,2.2372584715338872,1.8252216796123104,0.28873083361933094,2.650414743651442,1.916778331225469,1,4.366625070571899
HHO,27,0.520433436577648,2.033566425935019,1.5862738990478034,0.08088426441154462,3.0128807894187917,1.9612194978152042,4,5.273851156234741
HHO,28,0.44546579318948953,2.1867447167377443,1.796421599806021,0.33247131754156056,2.567626286529154,1.8359450312726102,1,4.490511178970337
HHO,29,0.4501991320092743,2.177392015210509,1.7549937568958593,0.3346153006144209,2.5634995914668117,1.7641974430759944,2,5.056901216506958
MSHHO_I1,0,0.540688394746122,1.9901583117997517,1.5673954609874914,0.36681726599484754,2.500698764002117,1.6183974356593616,3,5.447188138961792
MSHHO_I1,1,0.4452166939604951,2.187235809313941,1.7976155019570115,0.33176593437996016,2.5689825444555394,1.829528968704861,1,4.005473613739014
MSHHO_I1,2,0.39145988899984574,2.2907543507855177,1.849469693198761,0.28499764989664444,2.6573611547297715,1.8883432878054658,1,4.011678218841553
MSHHO_I1,3,0.40985399844558956,2.2558678242477277,1.829274047532204,0.262929970841728,2.6980576411715713,1.9142480192910942,1,4.331624984741211
MSHHO_I1,4,0.538853293493678,1.9941300178922305,1.5790846682261872,0.3004967522849369,2.6284015533385157,1.8257006616463338,7,5.974438190460205
MSHHO_I1,5,0.49068638205220305,2.0956876767012314,1.6809213029373995,0.34943696363175836,2.534787399354395,1.7314993351102637,3,5.671748876571655
MSHHO_I1,6,0.5340350859312724,2.004520599948959,1.6047743522260436,0.31782405676625225,2.595643522564483,1.768627121336431,4,5.260968923568726
MSHHO_I1,7,0.44423542032478625,2.189169292704997,1.8059475732196502,0.3312314620329161,2.570009711251891,1.8951960404730617,3,5.299454212188721
MSHHO_I1,8,0.4469953142969224,2.1837268851306844,1.7957122506336651,0.3345635597957841,2.563599259365067,1.8707500746024104,7,5.654007196426392
MSHHO_I1,9,0.42230099983583336,2.2319513465403267,1.7557705622105864,0.3336793664577091,2.5653018749560657,1.8311527238819134,2,4.252350091934204
MSHHO_I1,10,0.4470445446570568,2.1836296815657725,1.7968123856974023,0.3371040546120043,2.558700941313011,1.8789443828911545,3,4.951276063919067
