b14,b59,b85,b90,b91,b93,b103,b118,b121,b129,b136,b145,b152,b155,b161,b163,TS
853.0788099,2145.395157,2565.790157,2580.021681,2587.311758,2633.666245,2693.94113,2788.285646,2834.66482,2947.608324,2899.636018,2820.285013,2226.413673,2302.037031,2228.087039,2043.30796,8.55
513.2910271,1414.623675,1949.394524,1998.963127,2010.697579,2077.445324,2204.685235,2459.47286,2528.203513,2701.053015,2817.83605,2768.589967,2245.592024,2383.436303,2378.809305,2205.579839,3.9
521.584347,1381.783771,1875.643086,1927.212228,1927.709987,2003.668374,2150.471351,2371.232714,2451.175256,2634.347471,2636.946223,2635.059859,2014.871959,2046.298656,2082.014085,1880.612356,1.45
657.7983355,1694.431018,2275.422375,2283.683899,2291.016485,2310.898207,2422.622439,2589.053777,2649.665653,2870.239917,2842.27977,2787.40717,2007.412292,2245.018726,2275.927497,2135.494718,4.225
579.1523688,1571.868598,2116.613636,2234.197983,2237.665973,2276.634763,2415.275768,2650.778489,2760.067862,2934.033291,2939.90493,2906.284251,2386.674936,2447.960147,2450.674456,2385.793374,3.325
499.3438835,1446.081025,2021.447856,2105.739199,2133.595664,2203.565912,2338.848552,2604.824181,2703.584428,2888.831302,2931.966767,3018.592024,2552.899509,2617.463681,2493.297041,2327.454344,1.65
1355.831777,2650.104289,3060.974047,3101.356702,3118.469695,3169.235639,3178.90125,3275.776072,3289.068365,3407.834309,3431.58696,3310.316981,2794.278683,2882.24909,2749.321412,2637.175977,8.275
488.8085787,1434.919334,2068.918054,2194.853233,2216.310179,2265.800416,2457.84267,2779.149648,2845.43614,3053.708547,3196.886524,3237.829385,3031.84299,3074.361716,2993.239757,2825.555378,1.65
704.3689181,1866.145967,2479.382202,2561.324584,2578.684699,2632.370999,2798.367638,3054.576985,3133.56402,3278.908451,3318.333867,3259.889725,2744.923816,2900.826504,2819.956306,2690.238636,6.825
487.6106979,1432.833043,2023.110777,2072.221238,2095.844279,2170.317455,2311.043994,2610.486628,2678.157936,2870.502769,3014.346732,2945.370787,2407.307327,2515.863428,2483.979427,2270.124387,2.175
566.8706786,1507.958387,2001.698784,2063.546895,2074.49888,2107.756562,2204.888444,2398.463348,2468.068662,2655.419814,2599.014405,2568.997119,1921.560339,1984.90653,1944.815621,1846.057298,5.2
527.193385,1472.160627,2037.357493,2095.084824,2108.078968,2152.189587,2334.491059,2589.015667,2669.356227,2858.039721,2905.231366,2930.38946,2339.014559,2568.355436,2490.405444,2291.948568,3.275
483.7092532,1443.004058,2057.117857,2158.234091,2190.679383,2211.852922,2322.943669,2634.92013,2681.871266,2925.346753,2971.599188,2916.404383,2231.159091,2503.607305,2383.519318,2257.257792,1.675
801.6600512,2180.010083,2683.602913,2726.601312,2754.991357,2850.684699,2847.542734,2975.464309,3044.704225,3175.623079,3114.479994,2994.204545,2315.828585,2449.24856,2421.319942,2273.244878,11.2
442.2664853,1374.947983,1912.538732,1995.24952,2020.477433,2078.308419,2211.878521,2444.99968,2540.154609,2690.005602,2730.976953,2746.892766,2288.080186,2258.457106,2227.123399,2015.008163,2.125
423.6983766,1290.60276,1853.000487,1935.804708,1965.588799,2011.15276,2118.217045,2334.970942,2430.177273,2664.046266,2641.861688,2646.200812,2006.527435,2044.153734,2013.571104,1823.953409,1.9
412.7080666,1268.783451,1863.417894,1954.024648,1979.940301,2027.948944,2172.109955,2445.153009,2547.641805,2739.334667,2785.90781,2807.464789,2252.646767,2316.0,2355.03249,2246.21895,1.7
1272.621591,2688.086851,3040.82711,3094.743669,3099.330195,3095.785877,3136.890584,3167.466071,3176.169643,3235.602273,3189.988799,2985.053247,2319.476786,2368.489448,2174.693344,1992.778571,6.45
511.0473752,1470.106434,2089.604513,2153.011844,2174.067222,2234.692382,2381.151889,2664.889885,2722.669174,2957.241677,3010.513124,3019.330186,2351.990717,2610.565301,2614.820102,2487.637484,1.325
858.2660231,2118.273303,2663.437411,2713.240703,2725.697737,2778.01899,2859.094002,3023.652002,3102.736984,3229.83241,3222.856306,3110.781295,2447.335813,2631.371103,2519.689983,2341.686976,8.125
553.136414,1570.873081,2202.151765,2244.319196,2241.146542,2312.786517,2497.391676,2680.873239,2775.097959,3017.06251,3072.258427,2943.563539,2233.287545,2457.743472,2445.198133,2296.256686,2.15
725.1309219,1606.372439,2046.03009,2054.128681,2072.337548,2124.304577,2162.557458,2299.378201,2352.691741,2506.414693,2499.25048,2439.741677,1830.118118,1830.473431,1667.895807,1447.350352,10.2
513.9181833,1578.012818,2110.299414,2138.69932,2142.777022,2218.033075,2349.052856,2518.680329,2589.280741,2747.856939,2735.817218,2710.459566,2166.019307,2261.772749,2222.793796,2189.765469,3.475
